"DM","0000019","20250916|132953","20250915_2036204_068769_091045","R04_2_CHN_Hangzhou Open - Hangzhou","Etcheverry/Ugo Carabelli","Cash/Tracy","|K|0.389384|EK|G||OL1|2.8013|EOL1|OL2|1.8204|EOL2|OH1|1|EOH1|OH2|2.46|EOH2|EG|NA||NAOL1|2.76275|ENAOL1|NAOL2|1.85976|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/china/atp-hangzhou-doubles/etcheverry-tomas-martin-ugo-carabelli-camilo-cash-robert-tracy-james-fusBA08O/","","","","","","","","","","3.18","1.33","","","","","","",""
"FSM","0000020","20250916|132957","20250915_2104604_089087_089272","R04_0_BRA_M25 Londrina","Castaneda","Price","|K|0.372257|EK|G||OL1|2.72497|EOL1|OL2|1.712|EOL2|OH1|1|EOH1|OH2|160|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/brazil/itf-m25-londrina-men/castaneda-mateo-price-salvador-va5Q7PB6/","","","","","","","","","","2.5","1.48","","","","","","",""
"FSM","0000021","20250916|133014","20250915_2104604_086277_089517","R04_0_BRA_M25 Londrina","De Dios","Fernandez","|K|0.180817|EK|G||OL1|5.61202|EOL1|OL2|1.3161|EOL2|OH1|1|EOH1|OH2|123|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/brazil/itf-m25-londrina-men/de-dios-felipe-fernandez-bruno-zRbZ53tJ/","","","","","","","","","","3.8","1.23","","","","","","",""
"FSM","0000022","20250916|133029","20250915_2104604_065733_049212","R04_0_BRA_M25 Londrina","Gimenez","Tosetto","|K|0.634624|EK|G||OL1|1.6906|EOL1|OL2|2.77562|EOL2|OH1|158|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/brazil/itf-m25-londrina-men/gimenez-igor-tosetto-rafael-bRUigQdD/","","","","","","","","","","1.38","2.86","","","","","","",""
"FSM","0000023","20250916|133042","20250915_2104604_091333_090029","R04_0_BRA_M25 Londrina","Vitor Scramin Do Lago","Estevez","|K|0.0076458|EK|G||OL1|132.5|EOL1|OL2|1.18|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","","-","","","","","","","","","","","","","","","","","",""
"CSM","0000024","20250916|133046","20250915_2100604_081995_011881","R04_1_ARG_Villa Maria Challenger","Ambrogi","Bagnis","|K|0.132155|EK|G||OL1|8.06962|EOL1|OL2|1.25164|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|8.4027|ENAOL1|NAOL2|1.2238|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/argentina/villa-maria-challenger-men/ambrogi-luciano-emanuel-bagnis-facundo-808WoEE6/","","","","","","","","","","3.27","1.3","","","","","","",""
