"DM","0000007","20241231|082709","20250101_2031105_108614_041122","R05_2_AUS_Brisbane International - Brisbane","Harrison/Willis","Krajicek/Ram","|K|0.28927|EK|G||OL1|3.5638|EOL1|OL2|1.5369|EOL2|OH1|1|EOH1|OH2|141|EOH2|EG|NA||NAOL1|3.7195|ENAOL1|NAOL2|1.59894|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/atp-brisbane-doubles/harrison-christian-willis-marcus-krajicek-austin-ram-rajeev-UFbL7XtP/","","4.52","1.2","","","","","4.5","1.19","4.52","1.2","","","","","","",""
"DM","0000008","20241231|082712","20250101_2031105_028144_116638","R05_2_AUS_Brisbane International - Brisbane","Murray/Peers","Jarry/Mpetshi Perricard","|K|0.519438|EK|G||OL1|2.1037|EOL1|OL2|2.2781|EOL2|OH1|193|EOH1|OH2|209|EOH2|EG|NA||NAOL1|2.18862|ENAOL1|NAOL2|2.37006|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/atp-brisbane-doubles/murray-jamie-peers-john-jarry-nicolas-mpetshi-perricard-giovanni-nVy76Ta3/","","","","","","","","1.5","2.52","1.5","2.52","","","","","","",""
"DM","0000009","20241231|082716","20250101_2031209_110059_037136","R09_2_CHN_Hong Kong Tennis Open - Hong Kong","Bhambri/Olivetti","Khachanov/Rublev","|K|0.42089|EK|G||OL1|2.4514|EOL1|OL2|1.8857|EOL2|OH1|238|EOH1|OH2|173|EOH2|EG|NA||NAOL1|2.5585|ENAOL1|NAOL2|1.96182|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/hong-kong/atp-hong-kong-doubles/bhambri-yuki-olivetti-albano-khachanov-karen-rublev-andrey-Y5Ua0GsH/","","2.05","1.79","","","","","2.08","1.72","2.08","1.79","","","","","","",""
"DM","0000010","20241231|082720","20250101_2031209_110917_116643","R09_2_CHN_Hong Kong Tennis Open - Hong Kong","Davidovich Fokina/Fils","Mansouri/Vliegen","|K|0.409524|EK|G||OL1|2.5235|EOL1|OL2|1.853|EOL2|OH1|245|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.63375|ENAOL1|NAOL2|1.9278|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/hong-kong/atp-hong-kong-doubles/davidovich-fokina-alejandro-arthur-fils-mansouri-skander-vliegen-joran-AZg8sldC/","","","","","","","","","","2.26","1.58","","","","","","",""
"FSM","0000011","20241231|082731","20241230_2029304_066045_036170","R04_0_INA_M25 Bali","Sornlaksup","Masabayashi","|K|0.496107|EK|G||OL1|2.15534|EOL1|OL2|2.12333|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/indonesia/itf-m25-bali-3-men/sornlaksup-pawit-masabayashi-tomohiro-QuR6QKin/#ah;2;0.50;2","0.5","1.81","1.92","","","","","","","1.81","1.92","","","","","","",""
"FSM","0000011","20241231|082733","20241230_2029304_066045_036170","R04_0_INA_M25 Bali","Sornlaksup","Masabayashi","|K|0.496107|EK|G||OL1|2.15534|EOL1|OL2|2.12333|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/indonesia/itf-m25-bali-3-men/sornlaksup-pawit-masabayashi-tomohiro-QuR6QKin/#ah;2;-0.50;2","-0.5","1.91","1.82","","","","","","","1.91","1.82","","","","","","",""
"FSM","0000011","20241231|082736","20241230_2029304_066045_036170","R04_0_INA_M25 Bali","Sornlaksup","Masabayashi","|K|0.496107|EK|G||OL1|2.15534|EOL1|OL2|2.12333|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/indonesia/itf-m25-bali-3-men/sornlaksup-pawit-masabayashi-tomohiro-QuR6QKin/#ah;2;1.50;1","1.5","1.39","2.8","","","","","","","1.39","2.8","","","","","","",""
"FSM","0000011","20241231|082734","20241230_2029304_066045_036170","R04_0_INA_M25 Bali","Sornlaksup","Masabayashi","|K|0.496107|EK|G||OL1|2.15534|EOL1|OL2|2.12333|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/indonesia/itf-m25-bali-3-men/sornlaksup-pawit-masabayashi-tomohiro-QuR6QKin/#ah;2;-1.50;1","-1.5","2.84","1.38","","","","","","","2.84","1.38","","","","","","",""
"FSM","0000011","20241231|082725","20241230_2029304_066045_036170","R04_0_INA_M25 Bali","Sornlaksup","Masabayashi","|K|0.496107|EK|G||OL1|2.15534|EOL1|OL2|2.12333|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/indonesia/itf-m25-bali-3-men/sornlaksup-pawit-masabayashi-tomohiro-QuR6QKin/","","1.85","1.88","","","","","","","1.85","1.88","","","","","","",""
