"FDM","0000013","20240828|090354","20240826_2000309_114056_114057","R09_0_UZB_M15 Tashkent","Andre/Faucon","Aggarwal/Ambarzumjan","|K|0.736516|EK|G||OL1|1.39672|EOL1|OL2|3.99|EOL2|OH1|136|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/uzbekistan/itf-m15-tashkent-men-doubles/andre-seydina-romain-faucon-aggarwal-parth-ambarzumjan-edison-zoDbJeMr/","","","","","","","","","","","","","","","","","",""
"FDV","0000014","20240828|090357","20240826_1570309_092383_090429","R09_0_ESP_W15 Valladolid","Jovic/Losciale","Amos/Daley","|K|0.700779|EK|G||OL1|1.43|EOL1|OL2|3.46725|EOL2|OH1|143|EOH1|OH2|335|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/spain/itf-w15-valladolid-women-doubles/jovic-mayra-losciale-valentina-amos-abigail-daley-danielle-pGYJQwU8/","","","","2.1","1.65","","","","","2.1","1.66","","","","","","",""
"FDV","0000015","20240828|090401","20240826_1570309_096364_096365","R09_0_ESP_W15 Valladolid","Kanev/Maloney","Frahn/Lazarova","|K|0.9999|EK|G||OL1|1.1|EOL1|OL2|10350|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/spain/itf-w15-valladolid-women-doubles/kanev-kathleen-maloney-eliz-frahn-madison-lazarova-victoria-dbl9sT9O/","","","","1.04","8.5","","","","","1.04","8.54","","","","","","",""
"FDV","0000016","20240828|090405","20240826_1570309_074503_096368","R09_0_ESP_W15 Valladolid","Perello Saavedra/Rey Garcia","Ferrer Perez/Teixido Garcia","","GEW","https://www.oddsportal.com/tennis/spain/itf-w15-valladolid-women-doubles/perello-saavedra-judith-rey-garcia-alba-ferrer-perez-claudia-teixido-garcia-meritxell-bTiWnBqp/","","","","1.66","2.08","","","","","1.71","2.08","","","","","","",""
"FDV","0000017","20240828|090409","20240826_1570409_096376_096377","R09_0_SRB_W15 Kursumlijska Banja","Bertacchi/Bulatova","Giraldi Requena/Zack","|K|0.765172|EK|G||OL1|1.31|EOL1|OL2|4.4091|EOL2|OH1|131|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/serbia/itf-w15-kursumlijska-banja-16-women-doubles/bertacchi-anastasia-bulatova-arina-giraldi-requena-ana-zack-alian-xKSTcmFa/","","","","1.4","2.7","","","","","1.52","2.7","","","","","","",""
"FDV","0000018","20240828|090413","20240826_1570409_096372_096374","R09_0_SRB_W15 Kursumlijska Banja","Nikcevic/Pawlikowska","Ruihan/Vaja","","GEW","https://www.oddsportal.com/tennis/serbia/itf-w15-kursumlijska-banja-16-women-doubles/nikcevic-tea-pawlikowska-zuzanna-ruihan-du-vaja-klara-jZdPUbq2/","","","","1.08","6.7","","","","","1.08","6.89","","","","","","",""
