"CDV","0000013","20250611|074846","20250609_1625504_101527_100615","R04_1_GBR_Lexus Ilkley Open - Ilkley","Bains/Moore","Brooks/Hule","|K|0.331944|EK|G||OL1|3.10154|EOL1|OL2|1.59|EOL2|OH1|1|EOH1|OH2|2.175|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/united-kingdom/ilkley-challenger-women-doubles/bains-naiktha-moore-tara-brooks-madelaine-hule-petra-zBARIRhC/","","2.46","1.51","","","","","","","2.46","1.51","","","","","","",""
"CDV","0000014","20250611|074850","20250609_1625504_055213_101522","R04_1_GBR_Lexus Ilkley Open - Ilkley","Corley/Corley","Appleton/Marino","|K|0.476586|EK|G||OL1|2.1567|EOL1|OL2|2.0352|EOL2|OH1|2.94|EOH1|OH2|2.784|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/united-kingdom/ilkley-challenger-women-doubles/corley-carmen-corley-ivana-appleton-emily-marino-rebecca-2cCJKmOa/","","2.88","1.38","","","","","","","2.88","1.38","","","","","","",""
"DM","0000015","20250611|074854","20250609_2034304_111496_042754","R04_2_GER_Boss Open - Stuttgart","Balaji/Reyes-Varela","Doumbia/Reboul","|K|0.348649|EK|G||OL1|3.1283|EOL1|OL2|1.7094|EOL2|OH1|1|EOH1|OH2|2.31|EOH2|EG|NA||NAOL1|3.08525|ENAOL1|NAOL2|1.74636|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/germany/atp-stuttgart-doubles/balaji-n-sriram-reyes-varela-miguel-angel-doumbia-sadio-reboul-fabien-46bqdheC/","","2.64","1.5","","","","","","","2.64","1.5","","","","","","",""
"FSM","0000016","20250611|074906","20250609_2075804_086916_100982","R04_0_BIH_M25 Kiseljak","Maksimovic","Voljavec","|K|0.782712|EK|G||OL1|1.3696|EOL1|OL2|4.66993|EOL2|OH1|128|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m25-kiseljak-men/maksimovic-marko-voljavec-antonio-6FtvPGFc/#ah;2;-5.00;2","-5.0","1.63","2.2","","","","","","","1.63","2.2","","","","","","",""
"FSM","0000016","20250611|074905","20250609_2075804_086916_100982","R04_0_BIH_M25 Kiseljak","Maksimovic","Voljavec","|K|0.782712|EK|G||OL1|1.3696|EOL1|OL2|4.66993|EOL2|OH1|128|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m25-kiseljak-men/maksimovic-marko-voljavec-antonio-6FtvPGFc/#ah;2;-5.50;2","-5.5","1.81","1.93","","","","","","","1.81","1.93","","","","","","",""
"FSM","0000016","20250611|074910","20250609_2075804_086916_100982","R04_0_BIH_M25 Kiseljak","Maksimovic","Voljavec","|K|0.782712|EK|G||OL1|1.3696|EOL1|OL2|4.66993|EOL2|OH1|128|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m25-kiseljak-men/maksimovic-marko-voljavec-antonio-6FtvPGFc/#ah;2;1.50;1","1.5","1.06","7.95","","","","","","","1.06","7.95","","","","","","",""
"FSM","0000016","20250611|074909","20250609_2075804_086916_100982","R04_0_BIH_M25 Kiseljak","Maksimovic","Voljavec","|K|0.782712|EK|G||OL1|1.3696|EOL1|OL2|4.66993|EOL2|OH1|128|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m25-kiseljak-men/maksimovic-marko-voljavec-antonio-6FtvPGFc/#ah;2;-1.50;1","-1.5","1.46","2.6","","","","","","","1.46","2.6","","","","","","",""
"FSM","0000016","20250611|074857","20250609_2075804_086916_100982","R04_0_BIH_M25 Kiseljak","Maksimovic","Voljavec","|K|0.782712|EK|G||OL1|1.3696|EOL1|OL2|4.66993|EOL2|OH1|128|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m25-kiseljak-men/maksimovic-marko-voljavec-antonio-6FtvPGFc/","","1.16","4.78","","","","","1.15","4.7","1.16","4.78","","","","","","",""
"FSM","0000017","20250611|074913","20250609_2077204_103059_084556","R04_0_CHN_M15 Luan","Han","Isomura","|K|0.150332|EK|G||OL1|6.74658|EOL1|OL2|1.2626|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/china/itf-m15-luan-8-men/han-xirui-isomura-kokoro-dYUmWWv0/","","","","","","","","5.8","1.1","5.8","1.1","","","","","","",""
