"CDM","0000007","20250521|130735","20250519_2066104_119453_116764","R04_1_MKD_Skopje Challenger","Donski/Martos Gornes","Goldhoff/Hilderbrand","|K|0.432106|EK|G||OL1|2.36872|EOL1|OL2|1.79832|EOL2|OH1|232|EOH1|OH2|177|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/north-macedonia/skopje-challenger-men-doubles/donski-alexander-martos-gornes-sergio-goldhoff-george-hilderbrand-trey-0dd4AmPr/","","","","","","","","","","2.22","1.65","","","","","","",""
"DV","0000009","20250521|130742","20250519_1596310_088669_098956","R10_2_FRA_Internationaux de Strasbourg - Strasbourg","Dabrowski/Routliffe","Babos/Stefani","|K|0.696408|EK|G||OL1|1.50192|EOL1|OL2|3.4188|EOL2|OH1|144|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.47168|ENAOL1|NAOL2|3.7554|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/wta-strasbourg-doubles/dabrowski-gabriela-routliffe-erin-babos-timea-stefani-luisa-WW2AnaqL/","","1.58","2.39","","","","","1.52","2.4","1.58","2.4","","","","","","",""
"DV","0000010","20250521|130747","20250519_1596409_101009_101011","R09_2_MAR_Grand Prix De SAR La Princesse Lalla Meryem - Rabat","Lumsden/Tang","El Aouni/El Jardi","|K|0.697351|EK|G||OL1|1.50192|EOL1|OL2|3.42916|EOL2|OH1|144|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.47168|ENAOL1|NAOL2|3.76678|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/morocco/wta-rabat-doubles/lumsden-maia-tang-qianhui-el-aouni-aya-el-jardi-diae-jDgVPvXq/","","1.34","3.24","","","","","1.33","3.25","1.36","3.25","","","","","","",""
"DV","0000011","20250521|130751","20250519_1596409_070591_086120","R09_2_MAR_Grand Prix De SAR La Princesse Lalla Meryem - Rabat","Moratelli/Rosatello","Eikeri/Hozumi","|K|0.404341|EK|G||OL1|2.56928|EOL1|OL2|1.75224|EOL2|OH1|1|EOH1|OH2|168|EOH2|EG|NA||NAOL1|2.82224|ENAOL1|NAOL2|1.71696|ENAOL2|NAVE1|-9.3|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/morocco/wta-rabat-doubles/moratelli-angelica-rosatello-camilla-eikeri-ulrikke-hozumi-eri-UDBpgYyA/","","2.39","1.59","","","","","2.28","1.58","2.39","1.6","","","","","","",""
"FSM","0000012","20250521|130806","20250519_2069304_064915_047778","R04_0_USA_M25 Orlando","Fenty","Grant","|K|0.400508|EK|G||OL1|2.5325|EOL1|OL2|1.7869|EOL2|OH1|1|EOH1|OH2|167|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-orlando-fl-men/fenty-andrew-grant-william-pr5qHCgd/#ah;2;2.50;2","2.5","1.75","2.0","","","","","","","1.75","2.0","","","","","","",""
"FSM","0000012","20250521|130803","20250519_2069304_064915_047778","R04_0_USA_M25 Orlando","Fenty","Grant","|K|0.400508|EK|G||OL1|2.5325|EOL1|OL2|1.7869|EOL2|OH1|1|EOH1|OH2|167|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-orlando-fl-men/fenty-andrew-grant-william-pr5qHCgd/#ah;2;1.50;2","1.5","1.87","1.87","","","","","","","1.87","1.87","","","","","","",""
"FSM","0000012","20250521|130810","20250519_2069304_064915_047778","R04_0_USA_M25 Orlando","Fenty","Grant","|K|0.400508|EK|G||OL1|2.5325|EOL1|OL2|1.7869|EOL2|OH1|1|EOH1|OH2|167|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-orlando-fl-men/fenty-andrew-grant-william-pr5qHCgd/#ah;2;1.50;1","1.5","1.47","2.57","","","","","","","1.47","2.57","","","","","","",""
"FSM","0000012","20250521|130808","20250519_2069304_064915_047778","R04_0_USA_M25 Orlando","Fenty","Grant","|K|0.400508|EK|G||OL1|2.5325|EOL1|OL2|1.7869|EOL2|OH1|1|EOH1|OH2|167|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-orlando-fl-men/fenty-andrew-grant-william-pr5qHCgd/#ah;2;-1.50;1","-1.5","3.14","1.33","","","","","","","3.14","1.33","","","","","","",""
"FSM","0000012","20250521|130755","20250519_2069304_064915_047778","R04_0_USA_M25 Orlando","Fenty","Grant","|K|0.400508|EK|G||OL1|2.5325|EOL1|OL2|1.7869|EOL2|OH1|1|EOH1|OH2|167|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-orlando-fl-men/fenty-andrew-grant-william-pr5qHCgd/","","2.06","1.71","","","","","","","2.06","1.74","","","","","","",""
