"FSM","0000037","20241008|081851","20241007_2013104_078285_092649","R04_0_POR_M25 Sintra","Blanch","Pereira","|K|0.446102|EK|G||OL1|2.304|EOL1|OL2|1.92584|EOL2|OH1|3.375|EOH1|OH2|181|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|354.887|354.887|153.695|153.695|AH-3.5|286.237|286.237|153.695|153.695|AH-3|286.237|286.237|165.041|165.041|AH-2.5|253.748|253.748|165.041|165.041|AH-2|253.748|253.748|176.352|176.352|AH-1.5|230.973|230.973|176.352|176.352||AH1.5|198.122|198.122|201.914|201.914|AH2|198.122|198.122|214.868|214.868|AH2.5|187.056|187.056|214.868|214.868|AH3|187.056|187.056|242.924|242.924|AH3.5|169.967|169.967|242.924|242.924|AH4|169.967|169.967|302.591|302.591|AH4.5|149.36|149.36|302.591|302.591|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","","-","","","","","","","","","","","","","","","","","",""
"FSM","0000038","20241008|081851","20241007_2013104_020655_057038","R04_0_POR_M25 Sintra","Bourgue","Echeverria","|K|0.482941|EK|G||OL1|2.21312|EOL1|OL2|2.06416|EOL2|OH1|208|EOH1|OH2|194|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|335.203|335.203|160.686|160.686|AH-3.5|264.782|264.782|160.686|160.686|AH-3|264.782|264.782|177.782|177.782|AH-2.5|228.564|228.564|177.782|177.782|AH-2|228.564|228.564|188.691|188.691|AH-1.5|212.751|212.751|188.691|188.691||AH1.5|182.69|182.69|220.934|220.934|AH2|182.69|182.69|241.828|241.828|AH2.5|170.508|170.508|241.828|241.828|AH3|170.508|170.508|274.304|274.304|AH3.5|157.371|157.371|274.304|274.304|AH4|157.371|157.371|353.469|353.469|AH4.5|139.452|139.452|353.469|353.469|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","","-","","","","","","","","","","","","","","","","","",""
"FSM","0000039","20241008|081851","20241007_2013104_057304_059499","R04_0_POR_M25 Sintra","Vrbensky","Fernandez Flores","|K|0.649286|EK|G||OL1|1.6492|EOL1|OL2|2.92864|EOL2|OH1|155|EOH1|OH2|4.29|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|233.775|233.775|212.696|212.696|AH-3.5|188.734|188.734|212.696|212.696|AH-3|188.734|188.734|245.847|245.847|AH-2.5|168.565|168.565|245.847|245.847|AH-2|168.565|168.565|270.478|270.478|AH-1.5|158.659|158.659|270.478|270.478||AH1.5|142.226|142.226|336.818|336.818|AH2|142.226|142.226|378.5|378.5|AH2.5|135.907|135.907|378.5|378.5|AH3|135.907|135.907|441.194|441.194|AH3.5|129.309|129.309|441.194|441.194|AH4|129.309|129.309|563.511|563.511|AH4.5|121.574|121.574|563.511|563.511|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","","-","","","","","","","","","","","","","","","","","",""
"FSM","0000040","20241008|081904","20241007_2012704_029937_027082","R04_0_USA_M25 Louisville","Rybakov","Altamirano","|K|0.767067|EK|G||OL1|1.39384|EOL1|OL2|4.4032|EOL2|OH1|131|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-louisville-ky-men/rybakov-alex-altamirano-collin-xWUTAV1e/#ah;2;-3.50;2","-3.5","1.51","2.43","1.5","2.4","","","","","1.51","2.43","","","","","","",""
"FSM","0000040","20241008|081902","20241007_2012704_029937_027082","R04_0_USA_M25 Louisville","Rybakov","Altamirano","|K|0.767067|EK|G||OL1|1.39384|EOL1|OL2|4.4032|EOL2|OH1|131|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-louisville-ky-men/rybakov-alex-altamirano-collin-xWUTAV1e/#ah;2;-4.50;2","-4.5","1.79","1.93","1.78","1.92","","","","","1.79","1.93","","","","","","",""
"FSM","0000040","20241008|081908","20241007_2012704_029937_027082","R04_0_USA_M25 Louisville","Rybakov","Altamirano","|K|0.767067|EK|G||OL1|1.39384|EOL1|OL2|4.4032|EOL2|OH1|131|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-louisville-ky-men/rybakov-alex-altamirano-collin-xWUTAV1e/#ah;2;1.50;1","1.5","1.07","7.07","1.07","6.9","","","","","1.07","7.07","","","","","","",""
"FSM","0000040","20241008|081906","20241007_2012704_029937_027082","R04_0_USA_M25 Louisville","Rybakov","Altamirano","|K|0.767067|EK|G||OL1|1.39384|EOL1|OL2|4.4032|EOL2|OH1|131|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-louisville-ky-men/rybakov-alex-altamirano-collin-xWUTAV1e/#ah;2;-1.50;1","-1.5","1.64","2.16","1.62","2.15","","","","","1.64","2.16","","","","","","",""
"FSM","0000040","20241008|081854","20241007_2012704_029937_027082","R04_0_USA_M25 Louisville","Rybakov","Altamirano","|K|0.767067|EK|G||OL1|1.39384|EOL1|OL2|4.4032|EOL2|OH1|131|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-louisville-ky-men/rybakov-alex-altamirano-collin-xWUTAV1e/","","1.23","3.85","1.22","3.83","","","1.22","3.85","1.23","3.86","","","","","","",""
"FSM","0000041","20241008|081921","20241007_2012704_047778_102571","R04_0_USA_M25 Louisville","Grant","Mayew","|K|0.819112|EK|G||OL1|1.30872|EOL1|OL2|5.66272|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-louisville-ky-men/grant-william-mayew-will-pzLnNaiI/#ah;2;-4.50;2","-4.5","1.7","2.06","1.69","2.04","","","","","1.7","2.06","","","","","","",""
"FSM","0000041","20241008|081923","20241007_2012704_047778_102571","R04_0_USA_M25 Louisville","Grant","Mayew","|K|0.819112|EK|G||OL1|1.30872|EOL1|OL2|5.66272|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-louisville-ky-men/grant-william-mayew-will-pzLnNaiI/#ah;2;-5.00;2","-5.0","1.9","1.83","1.89","1.81","","","","","1.9","1.83","","","","","","",""
"FSM","0000041","20241008|081926","20241007_2012704_047778_102571","R04_0_USA_M25 Louisville","Grant","Mayew","|K|0.819112|EK|G||OL1|1.30872|EOL1|OL2|5.66272|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-louisville-ky-men/grant-william-mayew-will-pzLnNaiI/#ah;2;1.50;1","1.5","1.07","7.74","1.06","7.3","","","","","1.07","7.74","","","","","","",""
"FSM","0000041","20241008|081925","20241007_2012704_047778_102571","R04_0_USA_M25 Louisville","Grant","Mayew","|K|0.819112|EK|G||OL1|1.30872|EOL1|OL2|5.66272|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-louisville-ky-men/grant-william-mayew-will-pzLnNaiI/#ah;2;-1.50;1","-1.5","1.55","2.33","1.54","2.33","","","","","1.55","2.33","","","","","","",""
"FSM","0000041","20241008|081912","20241007_2012704_047778_102571","R04_0_USA_M25 Louisville","Grant","Mayew","|K|0.819112|EK|G||OL1|1.30872|EOL1|OL2|5.66272|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-louisville-ky-men/grant-william-mayew-will-pzLnNaiI/","","1.2","4.18","1.2","4.05","","","1.21","4.0","1.21","4.18","","","","","","",""
