"FSM","0000043","20240801|090130","20240729_1992605_083310_027783","R05_0_TPE_M25 Taipei","Pham","Mukund","|K|0.32085|EK|G||OL1|3.19488|EOL1|OL2|1.57472|EOL2|OH1|4.68|EOH1|OH2|148|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|741.449|741.449|121.858|121.858|AH-3.5|557.49|557.49|121.858|121.858|AH-3|557.49|557.49|126.455|126.455|AH-2.5|477.997|477.997|126.455|126.455|AH-2|477.997|477.997|131.006|131.006|AH-1.5|422.516|422.516|131.006|131.006||AH1.5|322.686|322.686|144.906|144.906|AH2|322.686|322.686|153.293|153.293|AH2.5|287.643|287.643|153.293|153.293|AH3|287.643|287.643|171.775|171.775|AH3.5|239.323|239.323|171.775|171.775|AH4|239.323|239.323|208.79|208.79|AH4.5|191.92|191.92|208.79|208.79|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","","-","","","","","","","","","","","","","","","","","",""
"FSM","0000045","20240801|090145","20240729_1993605_051700_066500","R05_0_TUN_M15 Monastir","Polukhin","Hamza Reguig","|K|0.842839|EK|G||OL1|1.26616|EOL1|OL2|6.52288|EOL2|OH1|119|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|164.497|164.497|348.45|348.45|AH-3.5|140.25|140.25|348.45|348.45|AH-3|140.25|140.25|444.223|444.223|AH-2.5|129.051|129.051|444.223|444.223|AH-2|129.051|129.051|537.324|537.324|AH-1.5|122.866|122.866|537.324|537.324||AH1.5|113.33|113.33|850.163|850.163|AH2|113.33|113.33|1064.08|1064.08|AH2.5|110.373|110.373|1064.08|1064.08|AH3|110.373|110.373|1512.41|1512.41|AH3.5|107.08|107.08|1512.41|1512.41|AH4|107.08|107.08|2766.47|2766.47|AH4.5|103.75|103.75|2766.47|2766.47|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-31-men/polukhin-savva-hamza-reguig-samir-vwWZznhl/#ah;2;-5.50;2","-5.5","","","1.9","1.8","","","","","1.9","1.8","","","","","","",""
"FSM","0000045","20240801|090138","20240729_1993605_051700_066500","R05_0_TUN_M15 Monastir","Polukhin","Hamza Reguig","|K|0.842839|EK|G||OL1|1.26616|EOL1|OL2|6.52288|EOL2|OH1|119|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|164.497|164.497|348.45|348.45|AH-3.5|140.25|140.25|348.45|348.45|AH-3|140.25|140.25|444.223|444.223|AH-2.5|129.051|129.051|444.223|444.223|AH-2|129.051|129.051|537.324|537.324|AH-1.5|122.866|122.866|537.324|537.324||AH1.5|113.33|113.33|850.163|850.163|AH2|113.33|113.33|1064.08|1064.08|AH2.5|110.373|110.373|1064.08|1064.08|AH3|110.373|110.373|1512.41|1512.41|AH3.5|107.08|107.08|1512.41|1512.41|AH4|107.08|107.08|2766.47|2766.47|AH4.5|103.75|103.75|2766.47|2766.47|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-31-men/polukhin-savva-hamza-reguig-samir-vwWZznhl/","","","","1.19","4.15","","","","","1.22","4.15","","","","","","",""
"FSM","0000046","20240801|090201","20240729_1993105_047778_096788","R05_0_USA_M25 Edwardsville","Grant","Miyoshi","|K|0.501747|EK|G||OL1|2.128|EOL1|OL2|2.13864|EOL2|OH1|200|EOH1|OH2|201|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|448.429|448.429|143.169|143.169|AH-3.5|331.65|331.65|143.169|143.169|AH-3|331.65|331.65|154.283|154.283|AH-2.5|284.218|284.218|154.283|154.283|AH-2|284.218|284.218|163.168|163.168|AH-1.5|258.309|258.309|163.168|163.168||AH1.5|215.845|215.845|186.322|186.322|AH2|215.845|215.845|201.736|201.736|AH2.5|198.294|198.294|201.736|201.736|AH3|198.294|198.294|231.53|231.53|AH3.5|176.028|176.028|231.53|231.53|AH4|176.028|176.028|292.882|292.882|AH4.5|151.845|151.845|292.882|292.882|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-edwardsville-il-men/grant-william-miyoshi-kenta-K6xlLcyi/#ah;2;-0.50;2","-0.5","1.93","1.81","1.87","1.83","","","","","1.93","1.83","","","","","","",""
"FSM","0000046","20240801|090206","20240729_1993105_047778_096788","R05_0_USA_M25 Edwardsville","Grant","Miyoshi","|K|0.501747|EK|G||OL1|2.128|EOL1|OL2|2.13864|EOL2|OH1|200|EOH1|OH2|201|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|448.429|448.429|143.169|143.169|AH-3.5|331.65|331.65|143.169|143.169|AH-3|331.65|331.65|154.283|154.283|AH-2.5|284.218|284.218|154.283|154.283|AH-2|284.218|284.218|163.168|163.168|AH-1.5|258.309|258.309|163.168|163.168||AH1.5|215.845|215.845|186.322|186.322|AH2|215.845|215.845|201.736|201.736|AH2.5|198.294|198.294|201.736|201.736|AH3|198.294|198.294|231.53|231.53|AH3.5|176.028|176.028|231.53|231.53|AH4|176.028|176.028|292.882|292.882|AH4.5|151.845|151.845|292.882|292.882|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-edwardsville-il-men/grant-william-miyoshi-kenta-K6xlLcyi/#ah;2;1.50;1","1.5","1.36","2.98","1.35","2.95","","","","","1.36","2.98","","","","","","",""
"FSM","0000046","20240801|090204","20240729_1993105_047778_096788","R05_0_USA_M25 Edwardsville","Grant","Miyoshi","|K|0.501747|EK|G||OL1|2.128|EOL1|OL2|2.13864|EOL2|OH1|200|EOH1|OH2|201|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|448.429|448.429|143.169|143.169|AH-3.5|331.65|331.65|143.169|143.169|AH-3|331.65|331.65|154.283|154.283|AH-2.5|284.218|284.218|154.283|154.283|AH-2|284.218|284.218|163.168|163.168|AH-1.5|258.309|258.309|163.168|163.168||AH1.5|215.845|215.845|186.322|186.322|AH2|215.845|215.845|201.736|201.736|AH2.5|198.294|198.294|201.736|201.736|AH3|198.294|198.294|231.53|231.53|AH3.5|176.028|176.028|231.53|231.53|AH4|176.028|176.028|292.882|292.882|AH4.5|151.845|151.845|292.882|292.882|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-edwardsville-il-men/grant-william-miyoshi-kenta-K6xlLcyi/#ah;2;-1.50;1","-1.5","2.9","1.38","2.85","1.37","","","","","2.9","1.38","","","","","","",""
"FSM","0000046","20240801|090154","20240729_1993105_047778_096788","R05_0_USA_M25 Edwardsville","Grant","Miyoshi","|K|0.501747|EK|G||OL1|2.128|EOL1|OL2|2.13864|EOL2|OH1|200|EOH1|OH2|201|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|448.429|448.429|143.169|143.169|AH-3.5|331.65|331.65|143.169|143.169|AH-3|331.65|331.65|154.283|154.283|AH-2.5|284.218|284.218|154.283|154.283|AH-2|284.218|284.218|163.168|163.168|AH-1.5|258.309|258.309|163.168|163.168||AH1.5|215.845|215.845|186.322|186.322|AH2|215.845|215.845|201.736|201.736|AH2.5|198.294|198.294|201.736|201.736|AH3|198.294|198.294|231.53|231.53|AH3.5|176.028|176.028|231.53|231.53|AH4|176.028|176.028|292.882|292.882|AH4.5|151.845|151.845|292.882|292.882|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-edwardsville-il-men/grant-william-miyoshi-kenta-K6xlLcyi/","","1.86","1.88","1.8","1.9","","","1.85","1.87","1.86","1.93","","","","","","",""
"CDM","0000047","20240801|090213","20240729_1986309_113209_092830","R09_1_CZE_Liberec Challenger","Guinard/Sachko","Barnat/Duda","|K|0.645599|EK|G||OL1|1.56069|EOL1|OL2|2.87811|EOL2|OH1|2.325|EOH1|OH2|283|EOH2|EG|NA||NAOL1|1.70965|ENAOL1|NAOL2|3.06489|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/czech-republic/liberec-challenger-men-doubles/guinard-manuel-sachko-vitaliy-barnat-jiri-duda-filip-C2ChO88r/","","","","","","","","","","","","","","","","","",""
"CDM","0000048","20240801|090220","20240729_1986309_113213_079658","R09_1_CZE_Liberec Challenger","Kirkin/Vocel","Forejtek/Vrbensky","|K|0.430442|EK|G||OL1|2.36961|EOL1|OL2|1.77214|EOL2|OH1|233|EOH1|OH2|2.64|EOH2|EG|NA||NAOL1|2.52339|ENAOL1|NAOL2|1.94128|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/czech-republic/liberec-challenger-men-doubles/kirkin-ergi-vocel-matej-forejtek-jonas-vrbensky-michael-nuo2B5zh/","","","","","","","","","","","","","","","","","",""
