"CDM","0000007","20240905|182107","20240902_2001410_075997_103544","R10_1_CHN_Shanghai Challenger","Matsui/Uesugi","Bollipalli/Kadhe","|K|0.451042|EK|G||OL1|2.25774|EOL1|OL2|1.84263|EOL2|OH1|222|EOH1|OH2|2.745|EOH2|EG|NA||NAOL1|2.40426|ENAOL1|NAOL2|2.01849|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/china/shanghai-challenger-men-doubles/matsui-toshihide-uesugi-kaito-bollipalli-rithvik-kadhe-arjun-CUKSXiHS/","","","","2.7","1.4","","","","","2.81","1.4","","","","","","",""
"CDM","0000008","20240905|182112","20240902_2001410_114190_109943","R10_1_CHN_Shanghai Challenger","Rodriguez/Romios","Ho/Nam Ji","|K|0.455832|EK|G||OL1|2.2374|EOL1|OL2|1.8527|EOL2|OH1|220|EOH1|OH2|2.76|EOH2|EG|NA||NAOL1|2.3826|ENAOL1|NAOL2|2.02952|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/china/shanghai-challenger-men-doubles/rodriguez-cristian-romios-matthew-christopher-ho-ray-nam-ji-sung-4QdjxPh8/","","","","1.85","1.85","","","","","1.85","1.88","","","","","","",""
"CSM","0000009","20240905|182125","20240902_2001409_017928_072877","R09_1_CHN_Shanghai Challenger","Gombos","Kachmazov","|K|0.452016|EK|G||OL1|2.3643|EOL1|OL2|1.94895|EOL2|OH1|1|EOH1|OH2|183|EOH2|EG|NA||NAOL1|2.4642|ENAOL1|NAOL2|2.0313|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|4.737|446.859|1.536|144.884|AH-2.5|3.422|322.794|1.536|144.884|AH-2|3.422|322.794|1.648|155.509|AH-1.5|2.97|280.151|1.648|155.509||AH1.5|2.403|218.488|2.028|184.396|AH2|2.403|218.488|2.315|210.456|AH2.5|2.096|190.534|2.315|210.456|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.99834|6|1.54|6|EK-1.5||K21|6.23661|1|4.35661|6|EK21||K1.5|1.54|6|3.51187|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/shanghai-challenger-men/gombos-norbert-kachmazov-alibek-pbwCzuFJ/#ah;2;-1.50;2","-1.5","1.9","1.95","1.84","1.86","","","","","1.9","1.95","","","","","","",""
"CSM","0000009","20240905|182127","20240902_2001409_017928_072877","R09_1_CHN_Shanghai Challenger","Gombos","Kachmazov","|K|0.452016|EK|G||OL1|2.3643|EOL1|OL2|1.94895|EOL2|OH1|1|EOH1|OH2|183|EOH2|EG|NA||NAOL1|2.4642|ENAOL1|NAOL2|2.0313|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|4.737|446.859|1.536|144.884|AH-2.5|3.422|322.794|1.536|144.884|AH-2|3.422|322.794|1.648|155.509|AH-1.5|2.97|280.151|1.648|155.509||AH1.5|2.403|218.488|2.028|184.396|AH2|2.403|218.488|2.315|210.456|AH2.5|2.096|190.534|2.315|210.456|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.99834|6|1.54|6|EK-1.5||K21|6.23661|1|4.35661|6|EK21||K1.5|1.54|6|3.51187|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/shanghai-challenger-men/gombos-norbert-kachmazov-alibek-pbwCzuFJ/#ah;2;-2.50;2","-2.5","2.13","1.76","","","","","","","2.13","1.76","","","","","","",""
"CSM","0000009","20240905|182134","20240902_2001409_017928_072877","R09_1_CHN_Shanghai Challenger","Gombos","Kachmazov","|K|0.452016|EK|G||OL1|2.3643|EOL1|OL2|1.94895|EOL2|OH1|1|EOH1|OH2|183|EOH2|EG|NA||NAOL1|2.4642|ENAOL1|NAOL2|2.0313|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|4.737|446.859|1.536|144.884|AH-2.5|3.422|322.794|1.536|144.884|AH-2|3.422|322.794|1.648|155.509|AH-1.5|2.97|280.151|1.648|155.509||AH1.5|2.403|218.488|2.028|184.396|AH2|2.403|218.488|2.315|210.456|AH2.5|2.096|190.534|2.315|210.456|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.99834|6|1.54|6|EK-1.5||K21|6.23661|1|4.35661|6|EK21||K1.5|1.54|6|3.51187|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/shanghai-challenger-men/gombos-norbert-kachmazov-alibek-pbwCzuFJ/#ah;2;1.50;1","1.5","1.3","3.71","1.0","1.0","","","","","1.3","3.71","","","","","","",""
"CSM","0000009","20240905|182130","20240902_2001409_017928_072877","R09_1_CHN_Shanghai Challenger","Gombos","Kachmazov","|K|0.452016|EK|G||OL1|2.3643|EOL1|OL2|1.94895|EOL2|OH1|1|EOH1|OH2|183|EOH2|EG|NA||NAOL1|2.4642|ENAOL1|NAOL2|2.0313|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|4.737|446.859|1.536|144.884|AH-2.5|3.422|322.794|1.536|144.884|AH-2|3.422|322.794|1.648|155.509|AH-1.5|2.97|280.151|1.648|155.509||AH1.5|2.403|218.488|2.028|184.396|AH2|2.403|218.488|2.315|210.456|AH2.5|2.096|190.534|2.315|210.456|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.99834|6|1.54|6|EK-1.5||K21|6.23661|1|4.35661|6|EK21||K1.5|1.54|6|3.51187|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/shanghai-challenger-men/gombos-norbert-kachmazov-alibek-pbwCzuFJ/#ah;2;-1.50;1","-1.5","2.7","1.5","2.55","1.45","","","","","2.7","1.5","","","","","","",""
"CSM","0000009","20240905|182116","20240902_2001409_017928_072877","R09_1_CHN_Shanghai Challenger","Gombos","Kachmazov","|K|0.452016|EK|G||OL1|2.3643|EOL1|OL2|1.94895|EOL2|OH1|1|EOH1|OH2|183|EOH2|EG|NA||NAOL1|2.4642|ENAOL1|NAOL2|2.0313|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|4.737|446.859|1.536|144.884|AH-2.5|3.422|322.794|1.536|144.884|AH-2|3.422|322.794|1.648|155.509|AH-1.5|2.97|280.151|1.648|155.509||AH1.5|2.403|218.488|2.028|184.396|AH2|2.403|218.488|2.315|210.456|AH2.5|2.096|190.534|2.315|210.456|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.99834|6|1.54|6|EK-1.5||K21|6.23661|1|4.35661|6|EK21||K1.5|1.54|6|3.51187|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/china/shanghai-challenger-men/gombos-norbert-kachmazov-alibek-pbwCzuFJ/","","1.69","2.24","1.63","2.13","","","","","1.69","2.24","","","","","","",""
"FSV","0000010","20240905|182134","20240902_1572405_059579_054676","R05_0_NED_W15 Haren","Dittmann","Zhabrailova","|K|0.579066|EK|G||OL1|1.84245|EOL1|OL2|2.5823|EOL2|OH1|173|EOH1|OH2|238|EOH2|EG|NA|NOT|ENA|","","-","","","","","","","","","","","","","","","","","",""
"FSV","0000011","20240905|182134","20240902_1572405_046577_087779","R05_0_NED_W15 Haren","Wirges","Ebeling Koning","|K|0.450671|EK|G||OL1|2.4087|EOL1|OL2|1.94895|EOL2|OH1|222|EOH1|OH2|183|EOH2|EG|NA|NOT|ENA|","","-","","","","","","","","","","","","","","","","","",""
