"DM","0000001","20251110|163358","20251110_2037508_114614_063508","R08_3_ITA_Nitto ATP Finals - Turin","Cash/Glasspool","Krawietz/Puetz","|K|0.592409|EK|G||OL1|1.8759|EOL1|OL2|2.6814|EOL2|OH1|2.535|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.91646|ENAOL1|NAOL2|2.6445|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/world/atp-finals-turin-doubles/cash-julian-glasspool-lloyd-krawietz-kevin-puetz-tim-GhnCg0x2/","","1.59","2.36","","","","","","","1.53","2.27","","","","","","",""
"DM","0000002","20251110|163407","20251110_2037508_079810_085486","R08_3_ITA_Nitto ATP Finals - Turin","Granollers/Zeballos","Bolelli/Vavassori","|K|0.44226|EK|G||OL1|2.4743|EOL1|OL2|1.998|EOL2|OH1|227|EOH1|OH2|2.7|EOH2|EG|NA||NAOL1|2.44025|ENAOL1|NAOL2|2.0412|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/world/atp-finals-turin-doubles/granollers-marcel-zeballos-horacio-bolelli-simone-vavassori-andrea-EPFx6URO/","","1.74","2.1","","","","","","","1.67","2.02","","","","","","",""
"FSM","0000003","20251110|163407","20251110_2122304_091333_049212","R04_0_BRA_M15 Criciuma","Vitor Scramin Do Lago","Tosetto","|K|0.222334|EK|G||OL1|4.5585|EOL1|OL2|1.3803|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","","-","","","","","","","","","","","","","","","","","",""
"CSM","0000004","20251110|163425","20251110_2118404_095461_058149","R04_1_AUS_Brisbane 3 Challenger","Matsuoka","Hijikata","|K|0.053719|EK|G||OL1|19.8489|EOL1|OL2|1.21|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|20.6682|ENAOL1|NAOL2|1.1183|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/brisbane-3-challenger-men/matsuoka-hayato-hijikata-rinky-GY18NJdC/#ah;2;6.50;2","6.5","1.61","2.32","","","","","","","1.61","2.32","","","","","","",""
"CSM","0000004","20251110|163423","20251110_2118404_095461_058149","R04_1_AUS_Brisbane 3 Challenger","Matsuoka","Hijikata","|K|0.053719|EK|G||OL1|19.8489|EOL1|OL2|1.21|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|20.6682|ENAOL1|NAOL2|1.1183|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/brisbane-3-challenger-men/matsuoka-hayato-hijikata-rinky-GY18NJdC/#ah;2;5.50;2","5.5","2.04","1.78","","","","","","","2.04","1.78","","","","","","",""
"CSM","0000004","20251110|163429","20251110_2118404_095461_058149","R04_1_AUS_Brisbane 3 Challenger","Matsuoka","Hijikata","|K|0.053719|EK|G||OL1|19.8489|EOL1|OL2|1.21|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|20.6682|ENAOL1|NAOL2|1.1183|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/brisbane-3-challenger-men/matsuoka-hayato-hijikata-rinky-GY18NJdC/#ah;2;1.50;1","1.5","2.97","1.41","","","","","","","2.97","1.41","","","","","","",""
"CSM","0000004","20251110|163427","20251110_2118404_095461_058149","R04_1_AUS_Brisbane 3 Challenger","Matsuoka","Hijikata","|K|0.053719|EK|G||OL1|19.8489|EOL1|OL2|1.21|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|20.6682|ENAOL1|NAOL2|1.1183|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/brisbane-3-challenger-men/matsuoka-hayato-hijikata-rinky-GY18NJdC/#ah;2;-1.50;1","-1.5","12.83","1.04","","","","","","","12.83","1.04","","","","","","",""
"CSM","0000004","20251110|163416","20251110_2118404_095461_058149","R04_1_AUS_Brisbane 3 Challenger","Matsuoka","Hijikata","|K|0.053719|EK|G||OL1|19.8489|EOL1|OL2|1.21|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|20.6682|ENAOL1|NAOL2|1.1183|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/brisbane-3-challenger-men/matsuoka-hayato-hijikata-rinky-GY18NJdC/","","7.23","1.1","","","","","","","6.94","1.06","","","","","","",""
