"FDM","0000001","20250323|075732","20250317_2056212_115716_118232","R12_0_ESP_M25 Badalona","Oliveira/Oliveira","Gutierrez/Mansilla Diez","|K|0.363776|EK|G||OL1|2.8985|EOL1|OL2|1.62266|EOL2|OH1|4.675|EOH1|OH2|158|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/spain/itf-m25-badalona-men-doubles/oliveira-bruno-oliveira-christian-gutierrez-oscar-jose-mansilla-diez-mario-2ygt4295/","","","","","","","","","","","","","","","","","",""
"DV","0000002","20250323|075736","20250317_1595605_098956_066163","R05_3_USA_Miami Open - Miami","Babos/Stefani","Mertens/Zhang","|K|0.345348|EK|G||OL1|3.0131|EOL1|OL2|1.56014|EOL2|OH1|1|EOH1|OH2|153|EOH2|EG|NA||NAOL1|3.3002|ENAOL1|NAOL2|1.56366|ENAOL2|NAVE1|-9.3|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/wta-miami-doubles/babos-timea-stefani-luisa-mertens-elise-zhang-shuai-MJh3laQH/","","2.01","1.81","","","","","2.0","1.8","2.22","1.81","","","","","","",""
"DV","0000003","20250323|075739","20250317_1595605_065079_097610","R05_3_USA_Miami Open - Miami","Errani/Paolini","Bucsa/Kato","|K|0.770418|EK|G||OL1|1.43|EOL1|OL2|4.53004|EOL2|OH1|130|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3286|ENAOL1|NAOL2|4.96168|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/wta-miami-doubles/errani-sara-paolini-jasmine-bucsa-cristina-kato-miyu-EJnGDhmg/","","1.45","2.76","","","","","","","1.45","2.81","","","","","","",""
"DV","0000004","20250323|075742","20250317_1595605_094430_099881","R05_3_USA_Miami Open - Miami","Mihalikova/Nicholls","Alexandrova/Stearns","|K|0.583235|EK|G||OL1|1.75388|EOL1|OL2|2.4936|EOL2|OH1|172|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.75784|ENAOL1|NAOL2|2.7312|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/wta-miami-doubles/mihalikova-tereza-nicholls-olivia-alexandrova-ekaterina-stearns-peyton-SnvNXps9/","","1.66","2.23","","","","","1.74","2.0","1.74","2.29","","","","","","",""
"DV","0000005","20250323|075746","20250317_1595605_093781_077734","R05_3_USA_Miami Open - Miami","Siniakova/Townsend","Kalinskaya/McNally","|K|0.67078|EK|G||OL1|1.52955|EOL1|OL2|3.15856|EOL2|OH1|150|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.533|ENAOL1|NAOL2|3.45952|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/wta-miami-doubles/siniakova-katerina-townsend-taylor-kalinskaya-anna-mcnally-caty-2HUbiPPa/","","1.31","3.49","","","","","","","1.31","3.49","","","","","","",""
"FSM","0000006","20250323|075757","20250317_2056912_086916_083306","R12_0_CRO_M15 Rovinj","Maksimovic","Bielinskyi","|K|0.313078|EK|G||OL1|3.2416|EOL1|OL2|1.5622|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/croatia/itf-m15-rovinj-men/maksimovic-marko-bielinskyi-viacheslav-p4d382r1/#ah;2;4.50;2","4.5","1.81","1.96","","","","","","","1.81","1.96","","","","","","",""
"FSM","0000006","20250323|075801","20250317_2056912_086916_083306","R12_0_CRO_M15 Rovinj","Maksimovic","Bielinskyi","|K|0.313078|EK|G||OL1|3.2416|EOL1|OL2|1.5622|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/croatia/itf-m15-rovinj-men/maksimovic-marko-bielinskyi-viacheslav-p4d382r1/#ah;2;1.50;1","1.5","1.95","1.82","","","","","","","1.95","1.82","","","","","","",""
"FSM","0000006","20250323|075759","20250317_2056912_086916_083306","R12_0_CRO_M15 Rovinj","Maksimovic","Bielinskyi","|K|0.313078|EK|G||OL1|3.2416|EOL1|OL2|1.5622|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/croatia/itf-m15-rovinj-men/maksimovic-marko-bielinskyi-viacheslav-p4d382r1/#ah;2;-1.50;1","-1.5","5.77","1.13","","","","","","","5.77","1.13","","","","","","",""
"FSM","0000006","20250323|075749","20250317_2056912_086916_083306","R12_0_CRO_M15 Rovinj","Maksimovic","Bielinskyi","|K|0.313078|EK|G||OL1|3.2416|EOL1|OL2|1.5622|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/croatia/itf-m15-rovinj-men/maksimovic-marko-bielinskyi-viacheslav-p4d382r1/","","3.32","1.32","","","","","","","3.32","1.32","","","","","","",""
