"FSM","0000001","20241230|173518","20241230_2029304_014861_037062","R04_0_INA_M25 Bali","Escoffier","Tamm","|K|0.85256|EK|G||OL1|1.25906|EOL1|OL2|7.02765|EOL2|OH1|118|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","","-","","","","","","","","","","","","","","","","","",""
"CSV","0000004","20241230|173611","20250101_1603004_067792_050943","R04_1_AUS_Workday Canberra International - Canberra","Eala","Kraus","|K|0.742964|EK|G||OL1|1.4472|EOL1|OL2|3.978|EOL2|OH1|1.89|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/australia/canberra-challenger-women/eala-alexandra-kraus-sinja-4bxO5rMt/#ah;2;-2.50;2","-2.5","1.65","2.26","","","","","","","1.65","2.26","","","","","","",""
"CSV","0000004","20241230|173609","20250101_1603004_067792_050943","R04_1_AUS_Workday Canberra International - Canberra","Eala","Kraus","|K|0.742964|EK|G||OL1|1.4472|EOL1|OL2|3.978|EOL2|OH1|1.89|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/australia/canberra-challenger-women/eala-alexandra-kraus-sinja-4bxO5rMt/#ah;2;-3.50;2","-3.5","1.84","1.98","","","","","1.92","1.84","1.92","1.98","","","","","","",""
"CSV","0000004","20241230|173615","20250101_1603004_067792_050943","R04_1_AUS_Workday Canberra International - Canberra","Eala","Kraus","|K|0.742964|EK|G||OL1|1.4472|EOL1|OL2|3.978|EOL2|OH1|1.89|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/australia/canberra-challenger-women/eala-alexandra-kraus-sinja-4bxO5rMt/#ah;2;1.50;1","1.5","1.18","4.93","","","","","1.21","4.4","1.21","4.93","","","","","","",""
"CSV","0000004","20241230|173613","20250101_1603004_067792_050943","R04_1_AUS_Workday Canberra International - Canberra","Eala","Kraus","|K|0.742964|EK|G||OL1|1.4472|EOL1|OL2|3.978|EOL2|OH1|1.89|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/australia/canberra-challenger-women/eala-alexandra-kraus-sinja-4bxO5rMt/#ah;2;-1.50;1","-1.5","2.17","1.71","","","","","2.25","1.61","2.25","1.73","","","","","","",""
"CSV","0000004","20241230|173602","20250101_1603004_067792_050943","R04_1_AUS_Workday Canberra International - Canberra","Eala","Kraus","|K|0.742964|EK|G||OL1|1.4472|EOL1|OL2|3.978|EOL2|OH1|1.89|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/australia/canberra-challenger-women/eala-alexandra-kraus-sinja-4bxO5rMt/","","1.44","2.83","","","","","1.5","2.55","1.5","2.85","","","","","","",""
"CSV","0000005","20241230|173628","20250101_1603004_057147_084356","R04_1_AUS_Workday Canberra International - Canberra","Jacquemot","Jones","|K|0.602181|EK|G||OL1|1.79024|EOL1|OL2|2.5704|EOL2|OH1|2.338|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/australia/canberra-challenger-women/jacquemot-elsa-jones-emerson-pf5ckNy0/#ah;2;0.50;2","0.5","1.84","1.98","","","","","","","1.84","1.98","","","","","","",""
"CSV","0000005","20241230|173630","20250101_1603004_057147_084356","R04_1_AUS_Workday Canberra International - Canberra","Jacquemot","Jones","|K|0.602181|EK|G||OL1|1.79024|EOL1|OL2|2.5704|EOL2|OH1|2.338|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/australia/canberra-challenger-women/jacquemot-elsa-jones-emerson-pf5ckNy0/#ah;2;-0.50;2","-0.5","1.95","1.87","","","","","","","1.95","1.87","","","","","","",""
"CSV","0000005","20241230|173633","20250101_1603004_057147_084356","R04_1_AUS_Workday Canberra International - Canberra","Jacquemot","Jones","|K|0.602181|EK|G||OL1|1.79024|EOL1|OL2|2.5704|EOL2|OH1|2.338|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/australia/canberra-challenger-women/jacquemot-elsa-jones-emerson-pf5ckNy0/#ah;2;1.50;1","1.5","1.38","3.1","","","","","1.36","3.05","1.38","3.1","","","","","","",""
"CSV","0000005","20241230|173632","20250101_1603004_057147_084356","R04_1_AUS_Workday Canberra International - Canberra","Jacquemot","Jones","|K|0.602181|EK|G||OL1|1.79024|EOL1|OL2|2.5704|EOL2|OH1|2.338|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/australia/canberra-challenger-women/jacquemot-elsa-jones-emerson-pf5ckNy0/#ah;2;-1.50;1","-1.5","3.01","1.4","","","","","3.05","1.36","3.05","1.4","","","","","","",""
"CSV","0000005","20241230|173619","20250101_1603004_057147_084356","R04_1_AUS_Workday Canberra International - Canberra","Jacquemot","Jones","|K|0.602181|EK|G||OL1|1.79024|EOL1|OL2|2.5704|EOL2|OH1|2.338|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/australia/canberra-challenger-women/jacquemot-elsa-jones-emerson-pf5ckNy0/","","1.88","1.93","","","","","1.89","1.89","1.89","1.93","","","","","","",""
"CSV","0000006","20241230|173648","20250101_1603004_014884_061881","R04_1_AUS_Workday Canberra International - Canberra","Stojanovic","Sierra","|K|0.551139|EK|G||OL1|1.95104|EOL1|OL2|2.2746|EOL2|OH1|2.548|EOH1|OH2|3.0105|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/australia/canberra-challenger-women/stojanovic-nina-sierra-solana-IyBW10L5/#ah;2;-1.50;2","-1.5","2.04","1.79","","","","","","","2.04","1.79","","","","","","",""
"CSV","0000006","20241230|173646","20250101_1603004_014884_061881","R04_1_AUS_Workday Canberra International - Canberra","Stojanovic","Sierra","|K|0.551139|EK|G||OL1|1.95104|EOL1|OL2|2.2746|EOL2|OH1|2.548|EOH1|OH2|3.0105|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/australia/canberra-challenger-women/stojanovic-nina-sierra-solana-IyBW10L5/#ah;2;-2.50;2","-2.5","","","","","","","2.18","1.64","2.2","1.64","","","","","","",""
"CSV","0000006","20241230|173651","20250101_1603004_014884_061881","R04_1_AUS_Workday Canberra International - Canberra","Stojanovic","Sierra","|K|0.551139|EK|G||OL1|1.95104|EOL1|OL2|2.2746|EOL2|OH1|2.548|EOH1|OH2|3.0105|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/australia/canberra-challenger-women/stojanovic-nina-sierra-solana-IyBW10L5/#ah;2;1.50;1","1.5","1.37","3.12","","","","","1.34","3.15","1.37","3.15","","","","","","",""
"CSV","0000006","20241230|173649","20250101_1603004_014884_061881","R04_1_AUS_Workday Canberra International - Canberra","Stojanovic","Sierra","|K|0.551139|EK|G||OL1|1.95104|EOL1|OL2|2.2746|EOL2|OH1|2.548|EOH1|OH2|3.0105|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/australia/canberra-challenger-women/stojanovic-nina-sierra-solana-IyBW10L5/#ah;2;-1.50;1","-1.5","2.9","1.42","","","","","2.95","1.38","2.95","1.42","","","","","","",""
"CSV","0000006","20241230|173638","20250101_1603004_014884_061881","R04_1_AUS_Workday Canberra International - Canberra","Stojanovic","Sierra","|K|0.551139|EK|G||OL1|1.95104|EOL1|OL2|2.2746|EOL2|OH1|2.548|EOH1|OH2|3.0105|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/australia/canberra-challenger-women/stojanovic-nina-sierra-solana-IyBW10L5/","","1.89","1.93","","","","","1.84","1.95","1.89","1.95","","","","","","",""
