"FSM","0000049","20250326|082059","20250324_2058704_066852_086619","R04_0_TUR_M15 Antalya","Arinc","Piraino","|K|0.0113527|EK|G||OL1|89.2352|EOL1|OL2|1.18|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-10-men/arinc-kaya-piraino-gabriele-xQPlrrye/","","","","","","","","","","8.31","1.05","","","","","","",""
"FSM","0000050","20250326|082103","20250324_2058704_078285_047528","R04_0_TUR_M15 Antalya","Blanch","Slump","|K|0.517006|EK|G||OL1|2.0758|EOL1|OL2|2.2256|EOL2|OH1|194|EOH1|OH2|208|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-10-men/blanch-dali-slump-stijn-2sSFdsjl/","","","","","","","","","","1.89","1.85","","","","","","",""
"FSM","0000051","20250326|082113","20250324_2058704_043553_094534","R04_0_TUR_M15 Antalya","Fomin","Sevilla","|K|0.90339|EK|G||OL1|1.1877|EOL1|OL2|10.4947|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-10-men/fomin-sergey-sevilla-iker-p21JG2sK/","","","","","","","","","","1.07","7.21","","","","","","",""
"FSM","0000053","20250326|082119","20250324_2058704_069015_087755","R04_0_TUR_M15 Antalya","Picchione","Figl","|K|0.878954|EK|G||OL1|1.2198|EOL1|OL2|8.37751|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-10-men/picchione-andrea-figl-maximilian-4E604Yic/","","","","","","","","","","1.13","5.52","","","","","","",""
"CSM","0000054","20250326|082132","20250324_2052405_064916_026845","R05_1_CHI_Concepcion Challenger","Pucinelli de Almeida","Galan","|K|0.29156|EK|G||OL1|3.65638|EOL1|OL2|1.53218|EOL2|OH1|1|EOH1|OH2|1.988|EOH2|EG|NA||NAOL1|3.8073|ENAOL1|NAOL2|1.4981|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/chile/concepcion-challenger-men/pucinelli-de-almeida-matheus-galan-daniel-elahi-tEr0mqq9/#ah;2;4.50;2","4.5","1.65","2.26","","","","","","","1.65","2.26","","","","","","",""
"CSM","0000054","20250326|082130","20250324_2052405_064916_026845","R05_1_CHI_Concepcion Challenger","Pucinelli de Almeida","Galan","|K|0.29156|EK|G||OL1|3.65638|EOL1|OL2|1.53218|EOL2|OH1|1|EOH1|OH2|1.988|EOH2|EG|NA||NAOL1|3.8073|ENAOL1|NAOL2|1.4981|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/chile/concepcion-challenger-men/pucinelli-de-almeida-matheus-galan-daniel-elahi-tEr0mqq9/#ah;2;3.50;2","3.5","2.02","1.81","","","","","","","2.02","1.81","","","","","","",""
"CSM","0000054","20250326|082134","20250324_2052405_064916_026845","R05_1_CHI_Concepcion Challenger","Pucinelli de Almeida","Galan","|K|0.29156|EK|G||OL1|3.65638|EOL1|OL2|1.53218|EOL2|OH1|1|EOH1|OH2|1.988|EOH2|EG|NA||NAOL1|3.8073|ENAOL1|NAOL2|1.4981|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/chile/concepcion-challenger-men/pucinelli-de-almeida-matheus-galan-daniel-elahi-tEr0mqq9/#ah;2;1.50;1","1.5","1.8","2.03","","","","","","","1.8","2.03","","","","","","",""
"CSM","0000054","20250326|082133","20250324_2052405_064916_026845","R05_1_CHI_Concepcion Challenger","Pucinelli de Almeida","Galan","|K|0.29156|EK|G||OL1|3.65638|EOL1|OL2|1.53218|EOL2|OH1|1|EOH1|OH2|1.988|EOH2|EG|NA||NAOL1|3.8073|ENAOL1|NAOL2|1.4981|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/chile/concepcion-challenger-men/pucinelli-de-almeida-matheus-galan-daniel-elahi-tEr0mqq9/#ah;2;-1.50;1","-1.5","5.75","1.15","","","","","","","5.75","1.15","","","","","","",""
"CSM","0000054","20250326|082123","20250324_2052405_064916_026845","R05_1_CHI_Concepcion Challenger","Pucinelli de Almeida","Galan","|K|0.29156|EK|G||OL1|3.65638|EOL1|OL2|1.53218|EOL2|OH1|1|EOH1|OH2|1.988|EOH2|EG|NA||NAOL1|3.8073|ENAOL1|NAOL2|1.4981|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/chile/concepcion-challenger-men/pucinelli-de-almeida-matheus-galan-daniel-elahi-tEr0mqq9/","","3.11","1.38","","","","","3.1","1.35","3.11","1.38","","","","","","",""
