"FDM","0000001","20250220|175709","20250217_2046110_109059_117532","R10_0_AUS_M25 Burnie","Hulme/Watt","Nam Ji/Sim","|K|0.491675|EK|G||OL1|2.15016|EOL1|OL2|2.07638|EOL2|OH1|3.468|EOH1|OH2|3.349|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/australia/itf-m25-burnie-men-doubles/hulme-matthew-watt-james-nam-ji-sung-sim-seongbin-8IZLPlbB/","","","","1.85","1.85","","","","","1.85","1.85","","","","","","",""
"CDM","0000003","20250220|175715","20250217_2050510_117505_117508","R10_1_CGO_Brazzaville Challenger","Blancaneaux/Chazal","Agamenone/Jones","|K|0.522992|EK|G||OL1|1.95648|EOL1|OL2|2.1399|EOL2|OH1|192|EOH1|OH2|210|EOH2|EG|NA||NAOL1|2.0064|ENAOL1|NAOL2|2.1945|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/republic-of-the-congo/brazzaville-challenger-men-doubles/blancaneaux-geoffrey-chazal-maxime-agamenone-franco-jones-maximus-8G4RIxi4/","","","","1.57","2.25","","","","","1.58","2.28","","","","","","",""
"FSM","0000004","20250220|175727","20250217_2046109_026059_025539","R09_0_AUS_M25 Burnie","Chung","Imai","|K|0.748932|EK|G||OL1|1.4338|EOL1|OL2|4.04187|EOL2|OH1|134|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/australia/itf-m25-burnie-men/chung-hyeon-imai-shintaro-jqQK0sPr/#ah;2;-4.00;2","-4.0","","","1.68","2.05","","","","","1.68","2.05","","","","","","",""
"FSM","0000004","20250220|175725","20250217_2046109_026059_025539","R09_0_AUS_M25 Burnie","Chung","Imai","|K|0.748932|EK|G||OL1|1.4338|EOL1|OL2|4.04187|EOL2|OH1|134|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/australia/itf-m25-burnie-men/chung-hyeon-imai-shintaro-jqQK0sPr/#ah;2;-4.50;2","-4.5","","","1.85","1.85","","","","","1.85","1.85","","","","","","",""
"FSM","0000004","20250220|175718","20250217_2046109_026059_025539","R09_0_AUS_M25 Burnie","Chung","Imai","|K|0.748932|EK|G||OL1|1.4338|EOL1|OL2|4.04187|EOL2|OH1|134|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/australia/itf-m25-burnie-men/chung-hyeon-imai-shintaro-jqQK0sPr/","","","","1.27","3.4","","","1.32","3.12","1.32","3.4","","","","","","",""
"FSM","0000005","20250220|175741","20250217_2046109_026965_034352","R09_0_AUS_M25 Burnie","Jasika","Rai","|K|0.811298|EK|G||OL1|1.3268|EOL1|OL2|5.3689|EOL2|OH1|124|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/australia/itf-m25-burnie-men/jasika-omar-rai-ajeet-CCg2DK8l/#ah;2;-5.50;2","-5.5","","","1.85","1.85","","","","","1.85","1.85","","","","","","",""
"FSM","0000005","20250220|175732","20250217_2046109_026965_034352","R09_0_AUS_M25 Burnie","Jasika","Rai","|K|0.811298|EK|G||OL1|1.3268|EOL1|OL2|5.3689|EOL2|OH1|124|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/australia/itf-m25-burnie-men/jasika-omar-rai-ajeet-CCg2DK8l/","","","","1.14","4.9","","","1.14","5.0","1.14","5.0","","","","","","",""
"FSM","0000006","20250220|175756","20250217_2046109_056590_030954","R09_0_AUS_M25 Burnie","Sweeny","Langmo","|K|0.374564|EK|G||OL1|2.70471|EOL1|OL2|1.712|EOL2|OH1|1|EOH1|OH2|160|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/australia/itf-m25-burnie-men/sweeny-dane-langmo-christian-Y5lWgZBb/#ah;2;2.50;2","2.5","","","1.85","1.85","","","","","1.85","1.85","","","","","","",""
"FSM","0000006","20250220|175746","20250217_2046109_056590_030954","R09_0_AUS_M25 Burnie","Sweeny","Langmo","|K|0.374564|EK|G||OL1|2.70471|EOL1|OL2|1.712|EOL2|OH1|1|EOH1|OH2|160|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/australia/itf-m25-burnie-men/sweeny-dane-langmo-christian-Y5lWgZBb/","","","","2.25","1.57","","","2.3","1.55","2.3","1.57","","","","","","",""
