"CDM","0000001","20250110|165353","20250106_2038012_056688_116746","R12_1_THA_Nonthaburi 2 Challenger","Cukierman/Paris","Ho/Oberleitner","|K|0.444029|EK|G||OL1|2.30294|EOL1|OL2|1.827|EOL2|OH1|226|EOH1|OH2|180|EOH2|EG|NA||NAOL1|2.3617|ENAOL1|NAOL2|1.962|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-9|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/thailand/nonthaburi-2-challenger-men-doubles/cukierman-daniel-paris-joshua-ho-ray-oberleitner-neil-bRrVJFaK/","","","","","","","","","","1.85","1.9","","","","","","",""
"DV","0000002","20250110|165357","20250106_1594312_095615_098664","R12_2_AUS_Hobart International - Hobart","Jiang/Wu","Niculescu/Stollar","|K|0.600088|EK|G||OL1|1.7029|EOL1|OL2|2.60789|EOL2|OH1|167|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.70674|ENAOL1|NAOL2|2.85638|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/wta-hobart-doubles/jiang-xinyu-wu-fang-hsien-niculescu-monica-stollar-fanny-WAZDRu9c/","","1.79","2.03","","","","","","","1.79","2.03","","","","","","",""
"DM","0000003","20250110|165400","20250106_2031412_116629_116691","R12_2_NZL_ASB Classic - Auckland","Mektic/Venus","Harrison/Ram","|K|0.612187|EK|G||OL1|1.7876|EOL1|OL2|2.6058|EOL2|OH1|164|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.85976|ENAOL1|NAOL2|2.7735|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/new-zealand/atp-auckland-doubles/mektic-nikola-venus-michael-harrison-christian-ram-rajeev-IcfKA23N/","","1.63","2.31","","","","","","","1.63","2.36","","","","","","",""
"FSM","0000004","20250110|165404","20250106_2040710_069838_053159","R10_0_IND_M25 Bhopal","Vanshelboim","Gray","|K|0.243237|EK|G||OL1|4.17356|EOL1|OL2|1.4231|EOL2|OH1|1|EOH1|OH2|133|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/india/itf-m25-bhopal-men/vanshelboim-eric-gray-alastair-GYPVE2Pi/","","","","","","","","3.0","1.34","3.0","1.34","","","","","","",""
"FSM","0000005","20250110|165417","20250106_2040710_090178_023471","R10_0_IND_M25 Bhopal","Zhukov","Rawat","|K|0.553766|EK|G||OL1|1.9367|EOL1|OL2|2.27925|EOL2|OH1|181|EOH1|OH2|225|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/india/itf-m25-bhopal-men/zhukov-maxim-rawat-sidharth-l4m4Ep4b/","","","","","","","","1.55","2.3","1.55","2.3","","","","","","",""
"SV","0000006","20250110|165439","20250106_1594412_011712_011672","R12_2_AUS_Adelaide International - Adelaide","Pegula","Keys","|K|0.445237|EK|G||OL1|2.3175|EOL1|OL2|2.0634|EOL2|OH1|225|EOH1|OH2|181|EOH2|EG|NA||NAOL1|2.45475|ENAOL1|NAOL2|2.0272|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/wta-adelaide/pegula-jessica-keys-madison-j5a0BdGF/#ah;2;0.50;2","0.5","1.98","1.89","","","","","","","1.98","1.89","","","","","","",""
"SV","0000006","20250110|165441","20250106_1594412_011712_011672","R12_2_AUS_Adelaide International - Adelaide","Pegula","Keys","|K|0.445237|EK|G||OL1|2.3175|EOL1|OL2|2.0634|EOL2|OH1|225|EOH1|OH2|181|EOH2|EG|NA||NAOL1|2.45475|ENAOL1|NAOL2|2.0272|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/wta-adelaide/pegula-jessica-keys-madison-j5a0BdGF/#ah;2;-0.50;2","-0.5","","","","","","","","","2.0","1.73","","","","","","",""
"SV","0000006","20250110|165445","20250106_1594412_011712_011672","R12_2_AUS_Adelaide International - Adelaide","Pegula","Keys","|K|0.445237|EK|G||OL1|2.3175|EOL1|OL2|2.0634|EOL2|OH1|225|EOH1|OH2|181|EOH2|EG|NA||NAOL1|2.45475|ENAOL1|NAOL2|2.0272|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/wta-adelaide/pegula-jessica-keys-madison-j5a0BdGF/#ah;2;1.50;1","1.5","1.42","3.04","","","","","1.4","2.95","1.44","3.04","","","","","","",""
"SV","0000006","20250110|165443","20250106_1594412_011712_011672","R12_2_AUS_Adelaide International - Adelaide","Pegula","Keys","|K|0.445237|EK|G||OL1|2.3175|EOL1|OL2|2.0634|EOL2|OH1|225|EOH1|OH2|181|EOH2|EG|NA||NAOL1|2.45475|ENAOL1|NAOL2|2.0272|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/wta-adelaide/pegula-jessica-keys-madison-j5a0BdGF/#ah;2;-1.50;1","-1.5","3.47","1.34","","","","","3.35","1.32","3.47","1.34","","","","","","",""
"SV","0000006","20250110|165432","20250106_1594412_011712_011672","R12_2_AUS_Adelaide International - Adelaide","Pegula","Keys","|K|0.445237|EK|G||OL1|2.3175|EOL1|OL2|2.0634|EOL2|OH1|225|EOH1|OH2|181|EOH2|EG|NA||NAOL1|2.45475|ENAOL1|NAOL2|2.0272|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/wta-adelaide/pegula-jessica-keys-madison-j5a0BdGF/","","2.04","1.85","","","","","2.02","1.8","2.04","1.85","","","","","","",""
