"CDM","0000009","20250620|134254","20250616_2073210_059954_119046","R10_1_POL_Poznan Challenger","Martinez/Mena","Jecan/Pavel","|K|0.570198|EK|G||OL1|1.78816|EOL1|OL2|2.37893|EOL2|OH1|176|EOH1|OH2|233|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/poland/poznan-challenger-men-doubles/martinez-luis-david-mena-facundo-jecan-mircea-alexandru-pavel-bogdan-Slybp70E/","","","","","","","","","","1.65","2.1","","","","","","",""
"DV","0000011","20250620|134258","20250616_1597010_085361_100998","R10_2_GBR_Rothesay Open - Nottingham","Haddad Maia/Siegemund","Khromacheva/Stollar","|K|0.704577|EK|G||OL1|1.48106|EOL1|OL2|3.51204|EOL2|OH1|142|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.45124|ENAOL1|NAOL2|3.85782|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/united-kingdom/wta-nottingham-doubles/haddad-maia-beatriz-siegemund-laura-khromacheva-irina-stollar-fanny-WzLLCh5e/","","1.66","2.23","","","","","","","1.66","2.23","","","","","","",""
"FSM","0000012","20250620|134310","20250616_2077609_064632_068297","R09_0_USA_M25 Tulsa","Boulais","Martinez","|K|0.466309|EK|G||OL1|2.3005|EOL1|OL2|2.0116|EOL2|OH1|215|EOH1|OH2|188|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-tulsa-ok-men/boulais-justin-martinez-alex-URhTEwaU/#ah;2;3.00;2","3.0","1.73","2.07","","","","","","","1.73","2.07","","","","","","",""
"FSM","0000012","20250620|134311","20250616_2077609_064632_068297","R09_0_USA_M25 Tulsa","Boulais","Martinez","|K|0.466309|EK|G||OL1|2.3005|EOL1|OL2|2.0116|EOL2|OH1|215|EOH1|OH2|188|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-tulsa-ok-men/boulais-justin-martinez-alex-URhTEwaU/#ah;2;2.50;2","2.5","1.84","1.93","","","","","","","1.84","1.93","","","","","","",""
"FSM","0000012","20250620|134315","20250616_2077609_064632_068297","R09_0_USA_M25 Tulsa","Boulais","Martinez","|K|0.466309|EK|G||OL1|2.3005|EOL1|OL2|2.0116|EOL2|OH1|215|EOH1|OH2|188|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-tulsa-ok-men/boulais-justin-martinez-alex-URhTEwaU/#ah;2;1.50;1","1.5","1.51","2.5","","","","","","","1.51","2.5","","","","","","",""
"FSM","0000012","20250620|134313","20250616_2077609_064632_068297","R09_0_USA_M25 Tulsa","Boulais","Martinez","|K|0.466309|EK|G||OL1|2.3005|EOL1|OL2|2.0116|EOL2|OH1|215|EOH1|OH2|188|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-tulsa-ok-men/boulais-justin-martinez-alex-URhTEwaU/#ah;2;-1.50;1","-1.5","3.49","1.29","","","","","","","3.49","1.29","","","","","","",""
"FSM","0000012","20250620|134302","20250616_2077609_064632_068297","R09_0_USA_M25 Tulsa","Boulais","Martinez","|K|0.466309|EK|G||OL1|2.3005|EOL1|OL2|2.0116|EOL2|OH1|215|EOH1|OH2|188|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-tulsa-ok-men/boulais-justin-martinez-alex-URhTEwaU/","","2.21","1.65","","","","","2.2","1.62","2.21","1.65","","","","","","",""
