"FSM","0000002","20250119|134500","20250113_2042112_046749_079066","R12_0_JAM_M15 Kingston","Aguilar J.","Martin","|K|0.371895|EK|G||OL1|2.72497|EOL1|OL2|1.712|EOL2|OH1|1|EOH1|OH2|160|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/jamaica/itf-m15-kingston-2-men/aguilar-juan-carlos-manuel-martin-andres-MsXs2ak1/","","","","","","","","","","2.22","1.6","","","","","","",""
"SM","0000003","20250119|134512","20250113_2031509_005992_068074","R09_4_AUS_Australian Open - Melbourne","Djokovic","Alcaraz","|K|0.423395|EK|G||OL1|2.5122|EOL1|OL2|2.0184|EOL2|OH1|237|EOH1|OH2|174|EOH2|EG|NA||NAOL1|2.59989|ENAOL1|NAOL2|1.9314|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/atp-australian-open/djokovic-novak-alcaraz-garfia-carlos-QXWYTuU8/","","2.84","1.48","","","","","2.8","1.44","2.84","1.48","","","","","","",""
"SM","0000004","20250119|134517","20250113_2031509_029935_024008","R09_4_AUS_Australian Open - Melbourne","Paul","Zverev","|K|0.25887|EK|G||OL1|4.1022|EOL1|OL2|1.566|EOL2|OH1|1|EOH1|OH2|135|EOH2|EG|NA||NAOL1|4.24539|ENAOL1|NAOL2|1.4985|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/atp-australian-open/paul-tommy-zverev-alexander-0jsKgmVs/","","3.4","1.36","","","","","3.45","1.32","3.45","1.36","","","","","","",""
"CSM","0000005","20250119|134531","20250120_2038801_081995_013209","R01_1_URU_Punta Del Este Challenger","Ambrogi","Chazal","|K|0.619781|EK|G||OL1|1.74798|EOL1|OL2|2.81424|EOL2|OH1|2.268|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7091|ENAOL1|NAOL2|2.9304|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/uruguay/punta-del-este-challenger-men/ambrogi-luciano-emanuel-chazal-maxime-bs5Uc1GU/#ah;2;-0.50;2","-0.5","1.75","2.05","","","","","","","1.75","2.05","","","","","","",""
"CSM","0000005","20250119|134529","20250120_2038801_081995_013209","R01_1_URU_Punta Del Este Challenger","Ambrogi","Chazal","|K|0.619781|EK|G||OL1|1.74798|EOL1|OL2|2.81424|EOL2|OH1|2.268|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7091|ENAOL1|NAOL2|2.9304|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/uruguay/punta-del-este-challenger-men/ambrogi-luciano-emanuel-chazal-maxime-bs5Uc1GU/#ah;2;-1.50;2","-1.5","1.85","1.92","","","","","","","1.85","1.92","","","","","","",""
"CSM","0000005","20250119|134535","20250120_2038801_081995_013209","R01_1_URU_Punta Del Este Challenger","Ambrogi","Chazal","|K|0.619781|EK|G||OL1|1.74798|EOL1|OL2|2.81424|EOL2|OH1|2.268|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7091|ENAOL1|NAOL2|2.9304|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/uruguay/punta-del-este-challenger-men/ambrogi-luciano-emanuel-chazal-maxime-bs5Uc1GU/#ah;2;1.50;1","1.5","1.31","3.34","","","","","","","1.31","3.34","","","","","","",""
"CSM","0000005","20250119|134533","20250120_2038801_081995_013209","R01_1_URU_Punta Del Este Challenger","Ambrogi","Chazal","|K|0.619781|EK|G||OL1|1.74798|EOL1|OL2|2.81424|EOL2|OH1|2.268|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7091|ENAOL1|NAOL2|2.9304|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/uruguay/punta-del-este-challenger-men/ambrogi-luciano-emanuel-chazal-maxime-bs5Uc1GU/#ah;2;-1.50;1","-1.5","2.57","1.49","","","","","","","2.57","1.49","","","","","","",""
"CSM","0000005","20250119|134522","20250120_2038801_081995_013209","R01_1_URU_Punta Del Este Challenger","Ambrogi","Chazal","|K|0.619781|EK|G||OL1|1.74798|EOL1|OL2|2.81424|EOL2|OH1|2.268|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7091|ENAOL1|NAOL2|2.9304|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/uruguay/punta-del-este-challenger-men/ambrogi-luciano-emanuel-chazal-maxime-bs5Uc1GU/","","1.7","2.11","","","","","","","1.7","2.13","","","","","","",""
"CSM","0000006","20250119|134546","20250120_2038801_007732_090203","R01_1_URU_Punta Del Este Challenger","Dutra Da Silva","Midon","|K|0.237716|EK|G||OL1|4.48786|EOL1|OL2|1.42428|EOL2|OH1|1|EOH1|OH2|1.848|EOH2|EG|NA||NAOL1|4.6731|ENAOL1|NAOL2|1.3926|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/uruguay/punta-del-este-challenger-men/dutra-da-silva-daniel-midon-lautaro-4rCLaNoI/#ah;2;4.50;2","4.5","1.66","2.19","","","","","","","1.66","2.19","","","","","","",""
"CSM","0000006","20250119|134544","20250120_2038801_007732_090203","R01_1_URU_Punta Del Este Challenger","Dutra Da Silva","Midon","|K|0.237716|EK|G||OL1|4.48786|EOL1|OL2|1.42428|EOL2|OH1|1|EOH1|OH2|1.848|EOH2|EG|NA||NAOL1|4.6731|ENAOL1|NAOL2|1.3926|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/uruguay/punta-del-este-challenger-men/dutra-da-silva-daniel-midon-lautaro-4rCLaNoI/#ah;2;3.50;2","3.5","1.96","1.81","","","","","","","1.96","1.81","","","","","","",""
"CSM","0000006","20250119|134549","20250120_2038801_007732_090203","R01_1_URU_Punta Del Este Challenger","Dutra Da Silva","Midon","|K|0.237716|EK|G||OL1|4.48786|EOL1|OL2|1.42428|EOL2|OH1|1|EOH1|OH2|1.848|EOH2|EG|NA||NAOL1|4.6731|ENAOL1|NAOL2|1.3926|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/uruguay/punta-del-este-challenger-men/dutra-da-silva-daniel-midon-lautaro-4rCLaNoI/#ah;2;1.50;1","1.5","1.74","2.05","","","","","","","1.74","2.05","","","","","","",""
