"FSM","0000055","20250902|080731","20250901_2101904_027783_050731","R04_0_THA_M25 Nakhon Pathom","Sasikumar","Mehrotra","|K|0.924614|EK|G||OL1|1.18|EOL1|OL2|13.4425|EOL2|OH1|109|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/thailand/itf-m25-nakhon-pathom-men/mukund-sasi-kumar-mehrotra-arjun-OKY3E5A5/","","","","","","","","","","1.08","5.19","","","","","","",""
"FSM","0000056","20250902|080745","20250901_2101904_066045_064623","R04_0_THA_M25 Nakhon Pathom","Sornlaksup","Ryan Ziegann","|K|0.832388|EK|G||OL1|1.2947|EOL1|OL2|6.04761|EOL2|OH1|121|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/thailand/itf-m25-nakhon-pathom-men/sornlaksup-pawit-ryan-ziegann-sam-2NeVHvHc/","","","","","","","","","","1.13","4.13","","","","","","",""
"FSM","0000057","20250902|080757","20250901_2102604_084712_088897","R04_0_TUN_M15 Monastir","Andre","Rivet","|K|0.476327|EK|G||OL1|2.247|EOL1|OL2|2.0437|EOL2|OH1|210|EOH1|OH2|191|EOH2|EG|NA|NOT|ENA|","","-","","","","","","","","","","","","","","","","","",""
"FSM","0000058","20250902|080801","20250901_2102604_088360_076232","R04_0_TUN_M15 Monastir","Molder","Chopra","|K|0.534014|EK|G||OL1|2.0116|EOL1|OL2|2.3005|EOL2|OH1|188|EOH1|OH2|215|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-33-men/molder-markus-chopra-keshav-6ezYUI3M/","","","","","","","","","","1.72","1.87","","","","","","",""
"SM","0000059","20250902|080819","20250825_2035909_040434_039309","R09_4_USA_U.S. Open - New York","Auger-Aliassime","De Minaur","|K|0.315403|EK|G||OL1|3.3708|EOL1|OL2|1.7052|EOL2|OH1|1|EOH1|OH2|147|EOH2|EG|NA||NAOL1|3.48846|ENAOL1|NAOL2|1.6317|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/atp-us-open/auger-aliassime-felix-de-minaur-alex-AHjegxuB/","","","","","","","","","","2.18","1.62","","","","","","",""
"SM","0000060","20250902|080823","20250825_2035909_047275_063572","R09_4_USA_U.S. Open - New York","Sinner","Musetti","|K|0.974316|EK|G||OL1|1.3|EOL1|OL2|41.2764|EOL2|OH1|103|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.1433|ENAOL1|NAOL2|42.7172|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/atp-us-open/sinner-jannik-musetti-lorenzo-632hXUT6/","","","","","","","","","","1.03","10.18","","","","","","",""
