"FDM","0000001","20240902|124645","20240902_2004004_112765_108232","R04_0_JPN_M25 Sapporo","Ogura/Thompkins","Matsumura/Matsuoka","|K|0.46567|EK|G||OL1|2.2575|EOL1|OL2|1.93076|EOL2|OH1|3.655|EOH1|OH2|188|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/japan/itf-m25-sapporo-men-doubles/ogura-kousuke-thompkins-jared-matsumura-ryotaro-matsuoka-hayato-EDVbUkVi/","","","","","","","","","","1.85","1.85","","","","","","",""
"CDM","0000002","20240902|124649","20240902_2001604_114200_114201","R04_1_FRA_Cassis Challenger","Bertrand/Naw","Escoffier/Sanchez","|K|0.348196|EK|G||OL1|2.92896|EOL1|OL2|1.55063|EOL2|OH1|288|EOH1|OH2|2.31|EOH2|EG|NA||NAOL1|3.11904|ENAOL1|NAOL2|1.69862|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/cassis-challenger-men-doubles/bertrand-robin-naw-hazem-escoffier-antoine-sanchez-luca-ra8yp8GO/","","","","","","","","","","3.25","1.33","","","","","","",""
"CDM","0000003","20240902|124652","20240902_2001604_089135_105385","R04_1_FRA_Cassis Challenger","Faria/Rocha","Cukierman/Stepanov","|K|0.704418|EK|G||OL1|1.4298|EOL1|OL2|3.44763|EOL2|OH1|2.13|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.56626|ENAOL1|NAOL2|3.67137|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/cassis-challenger-men-doubles/faria-jaime-rocha-henrique-cukierman-daniel-stepanov-roy-nXESoUoC/","","","","","","","","","","1.43","2.7","","","","","","",""
"SM","0000004","20240902|124657","20240826_1940509_029932_024008","R09_4_USA_U.S. Open - New York","Fritz","Zverev","|K|0.354387|EK|G||OL1|3.09885|EOL1|OL2|1.705|EOL2|OH1|1|EOH1|OH2|2.2475|EOH2|EG|NA||NAOL1|3.10451|ENAOL1|NAOL2|1.7205|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AHS||K-1.5|1.52|1|1.52|1|EK-1.5||K21|1.52|1|1.52|1|EK21||K1.5|1.52|1|1.52|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/atp-us-open/fritz-taylor-zverev-alexander-E55XJDKU/","","2.32","1.67","2.25","1.64","","","2.25","1.65","2.32","1.68","","","","","","",""
"CSM","0000005","20240902|124712","20240902_2001404_072877_022761","R04_1_CHN_Shanghai Challenger","Kachmazov","Fatic","|K|0.709327|EK|G||OL1|1.48755|EOL1|OL2|3.67425|EOL2|OH1|141|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.48755|ENAOL1|NAOL2|3.8295|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.144|202.243|2.602|245.473|AH-2.5|1.789|168.741|2.602|245.473|AH-2|1.789|168.741|3.045|287.274|AH-1.5|1.626|153.398|3.045|287.274||AH1.5|1.484|134.882|4.253|386.678|AH2|1.484|134.882|4.966|451.485|AH2.5|1.413|128.451|4.966|451.485|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.35354|6|1.98822|6|EK-1.5||K21|4.09354|6|7.99634|1|EK21||K1.5|1.54|6|8.1459|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/shanghai-challenger-men/kachmazov-alibek-fatic-nerman-nwAhsxy8/#ah;2;-2.50;2","-2.5","1.77","2.08","1.73","1.97","","","","","1.77","2.08","","","","","","",""
"CSM","0000005","20240902|124710","20240902_2001404_072877_022761","R04_1_CHN_Shanghai Challenger","Kachmazov","Fatic","|K|0.709327|EK|G||OL1|1.48755|EOL1|OL2|3.67425|EOL2|OH1|141|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.48755|ENAOL1|NAOL2|3.8295|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.144|202.243|2.602|245.473|AH-2.5|1.789|168.741|2.602|245.473|AH-2|1.789|168.741|3.045|287.274|AH-1.5|1.626|153.398|3.045|287.274||AH1.5|1.484|134.882|4.253|386.678|AH2|1.484|134.882|4.966|451.485|AH2.5|1.413|128.451|4.966|451.485|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.35354|6|1.98822|6|EK-1.5||K21|4.09354|6|7.99634|1|EK21||K1.5|1.54|6|8.1459|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/shanghai-challenger-men/kachmazov-alibek-fatic-nerman-nwAhsxy8/#ah;2;-3.50;2","-3.5","2.07","1.78","2.0","1.72","","","","","2.07","1.78","","","","","","",""
"CSM","0000005","20240902|124716","20240902_2001404_072877_022761","R04_1_CHN_Shanghai Challenger","Kachmazov","Fatic","|K|0.709327|EK|G||OL1|1.48755|EOL1|OL2|3.67425|EOL2|OH1|141|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.48755|ENAOL1|NAOL2|3.8295|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.144|202.243|2.602|245.473|AH-2.5|1.789|168.741|2.602|245.473|AH-2|1.789|168.741|3.045|287.274|AH-1.5|1.626|153.398|3.045|287.274||AH1.5|1.484|134.882|4.253|386.678|AH2|1.484|134.882|4.966|451.485|AH2.5|1.413|128.451|4.966|451.485|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.35354|6|1.98822|6|EK-1.5||K21|4.09354|6|7.99634|1|EK21||K1.5|1.54|6|8.1459|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/shanghai-challenger-men/kachmazov-alibek-fatic-nerman-nwAhsxy8/#ah;2;1.50;1","1.5","1.2","4.69","1.13","5.1","","","","","1.2","5.1","","","","","","",""
"CSM","0000005","20240902|124714","20240902_2001404_072877_022761","R04_1_CHN_Shanghai Challenger","Kachmazov","Fatic","|K|0.709327|EK|G||OL1|1.48755|EOL1|OL2|3.67425|EOL2|OH1|141|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.48755|ENAOL1|NAOL2|3.8295|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.144|202.243|2.602|245.473|AH-2.5|1.789|168.741|2.602|245.473|AH-2|1.789|168.741|3.045|287.274|AH-1.5|1.626|153.398|3.045|287.274||AH1.5|1.484|134.882|4.253|386.678|AH2|1.484|134.882|4.966|451.485|AH2.5|1.413|128.451|4.966|451.485|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.35354|6|1.98822|6|EK-1.5||K21|4.09354|6|7.99634|1|EK21||K1.5|1.54|6|8.1459|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/shanghai-challenger-men/kachmazov-alibek-fatic-nerman-nwAhsxy8/#ah;2;-1.50;1","-1.5","2.27","1.65","2.2","1.6","","","","","2.27","1.65","","","","","","",""
"CSM","0000005","20240902|124701","20240902_2001404_072877_022761","R04_1_CHN_Shanghai Challenger","Kachmazov","Fatic","|K|0.709327|EK|G||OL1|1.48755|EOL1|OL2|3.67425|EOL2|OH1|141|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.48755|ENAOL1|NAOL2|3.8295|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.144|202.243|2.602|245.473|AH-2.5|1.789|168.741|2.602|245.473|AH-2|1.789|168.741|3.045|287.274|AH-1.5|1.626|153.398|3.045|287.274||AH1.5|1.484|134.882|4.253|386.678|AH2|1.484|134.882|4.966|451.485|AH2.5|1.413|128.451|4.966|451.485|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.35354|6|1.98822|6|EK-1.5||K21|4.09354|6|7.99634|1|EK21||K1.5|1.54|6|8.1459|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/china/shanghai-challenger-men/kachmazov-alibek-fatic-nerman-nwAhsxy8/","","1.5","2.63","1.47","2.5","","","","","1.5","2.63","","","","","","",""
