"DV","0000001","20250406|083422","20250331_1595812_093434_100009","R12_2_COL_Copa Colsanitas - Bogota","Bucsa/Sorribes Tormo","bara/Pigossi","|K|0.759993|EK|G||OL1|1.43|EOL1|OL2|4.32012|EOL2|OH1|132|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.34904|ENAOL1|NAOL2|4.74546|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/colombia/wta-bogota-doubles/bucsa-cristina-sorribes-tormo-sara-bara-irina-pigossi-laura-jaEdX3y9/","","","","","","","","","","1.3","3.42","","","","","","",""
"DM","0000002","20250406|083430","20250407_2033304_118619_079830","R04_3_MON_Monte-Carlo Rolex Masters - Monte-Carlo","Bopanna/Shelton","Cerundolo/Tabilo","|K|0.51123|EK|G||OL1|2.1756|EOL1|OL2|2.2345|EOL2|OH1|2.94|EOH1|OH2|205|EOH2|EG|NA||NAOL1|2.22264|ENAOL1|NAOL2|2.20375|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/monaco/atp-monte-carlo-doubles/bopanna-rohan-shelton-ben-cerundolo-francisco-tabilo-alejandro-OAVr7iet/","","1.6","2.38","","","","","1.55","2.4","1.6","2.4","","","","","","",""
"DM","0000003","20250406|083434","20250407_2033304_065532_114614","R04_3_MON_Monte-Carlo Rolex Masters - Monte-Carlo","Melo/Zverev","Cash/Glasspool","|K|0.44167|EK|G||OL1|2.4743|EOL1|OL2|1.998|EOL2|OH1|227|EOH1|OH2|2.7|EOH2|EG|NA||NAOL1|2.44025|ENAOL1|NAOL2|2.0412|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/monaco/atp-monte-carlo-doubles/melo-marcelo-zverev-alexander-cash-julian-glasspool-lloyd-46bIjWAa/","","2.34","1.61","","","","","2.4","1.55","2.4","1.61","","","","","","",""
"DM","0000004","20250406|083438","20250331_2033012_079810_097319","R12_2_ROU_Tiriac Open - Bucharest","Granollers/Zeballos","Schnaitter/Wallner","|K|0.742479|EK|G||OL1|1.4985|EOL1|OL2|4.2401|EOL2|OH1|2.025|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.5309|ENAOL1|NAOL2|4.18175|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/romania/atp-bucharest-doubles/granollers-marcel-zeballos-horacio-schnaitter-jakob-wallner-mark-2Zk0gpas/","","1.33","3.36","","","","","1.33","3.25","1.33","3.6","","","","","","",""
"DM","0000005","20250406|083442","20250331_2033112_118482_118110","R12_2_USA_US Men's Clay Court Championship - Houston","Gomez/Gonzalez","Romboli/Smith","|K|0.580298|EK|G||OL1|1.9203|EOL1|OL2|2.6051|EOL2|OH1|2.595|EOH1|OH2|239|EOH2|EG|NA||NAOL1|1.96182|ENAOL1|NAOL2|2.56925|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/atp-houston-doubles/gomez-federico-agustin-gonzalez-santiago-romboli-fernando-smith-john-patrick-x2wZi6Xo/","","1.77","2.06","","","","","","","1.83","2.06","","","","","","",""
"FSM","0000006","20250406|083453","20250331_2058912_086275_038876","R12_0_ARG_M25 Chacabuco","La Serna","Rodriguez Taverna","|K|0.409539|EK|G||OL1|2.48185|EOL1|OL2|1.819|EOL2|OH1|1|EOH1|OH2|170|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/argentina/itf-m25-chacabuco-men/la-serna-juan-manuel-rodriguez-taverna-santiago-fTflT6ck/#ah;2;3.50;2","3.5","1.66","2.18","","","","","","","1.66","2.18","","","","","","",""
"FSM","0000006","20250406|083451","20250331_2058912_086275_038876","R12_0_ARG_M25 Chacabuco","La Serna","Rodriguez Taverna","|K|0.409539|EK|G||OL1|2.48185|EOL1|OL2|1.819|EOL2|OH1|1|EOH1|OH2|170|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/argentina/itf-m25-chacabuco-men/la-serna-juan-manuel-rodriguez-taverna-santiago-fTflT6ck/#ah;2;2.50;2","2.5","1.87","1.9","","","","","","","1.87","1.9","","","","","","",""
"FSM","0000006","20250406|083457","20250331_2058912_086275_038876","R12_0_ARG_M25 Chacabuco","La Serna","Rodriguez Taverna","|K|0.409539|EK|G||OL1|2.48185|EOL1|OL2|1.819|EOL2|OH1|1|EOH1|OH2|170|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/argentina/itf-m25-chacabuco-men/la-serna-juan-manuel-rodriguez-taverna-santiago-fTflT6ck/#ah;2;1.50;1","1.5","1.5","2.53","","","","","","","1.5","2.53","","","","","","",""
"FSM","0000006","20250406|083455","20250331_2058912_086275_038876","R12_0_ARG_M25 Chacabuco","La Serna","Rodriguez Taverna","|K|0.409539|EK|G||OL1|2.48185|EOL1|OL2|1.819|EOL2|OH1|1|EOH1|OH2|170|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/argentina/itf-m25-chacabuco-men/la-serna-juan-manuel-rodriguez-taverna-santiago-fTflT6ck/#ah;2;-1.50;1","-1.5","3.86","1.25","","","","","","","3.86","1.25","","","","","","",""
"FSM","0000006","20250406|083446","20250331_2058912_086275_038876","R12_0_ARG_M25 Chacabuco","La Serna","Rodriguez Taverna","|K|0.409539|EK|G||OL1|2.48185|EOL1|OL2|1.819|EOL2|OH1|1|EOH1|OH2|170|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/argentina/itf-m25-chacabuco-men/la-serna-juan-manuel-rodriguez-taverna-santiago-fTflT6ck/","","2.28","1.61","","","","","2.25","1.58","2.28","1.61","","","","","","",""
