"FDM","0000001","20250101|122818","20241230_2029309_115471_109564","R09_0_INA_M25 Bali","Sumizawa/Yamanaka","Kusuhara/Nakagawa","|K|0.0767226|EK|G||OL1|13.692|EOL1|OL2|1.11943|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/indonesia/itf-m25-bali-3-men-doubles/sumizawa-daisuke-yamanaka-taiyo-kusuhara-yusuke-nakagawa-shunsuke-UD1cSpHd/","","","","","","","","","","","","","","","","","",""
"FDM","0000002","20250101|122821","20241230_2029409_116679_112514","R09_0_IND_M25 Indore","Fomin/Zhukov","Eqbal/Shah","|K|0.354567|EK|G||OL1|2.9715|EOL1|OL2|1.59185|EOL2|OH1|1|EOH1|OH2|155|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/india/itf-m25-indore-men-doubles/fomin-sergey-zhukov-maxim-eqbal-ishaque-shah-aryan-tp3uz6gn/","","","","","","","","","","","","","","","","","",""
"FDM","0000003","20250101|122824","20241230_2029409_116677_105468","R09_0_IND_M25 Indore","Ganta S./Vanshelboim","Duhan/Javia","|K|0.668054|EK|G||OL1|1.5405|EOL1|OL2|3.171|EOL2|OH1|150|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/india/itf-m25-indore-men-doubles/reddy-ganta-sai-karteek-vanshelboim-eric-duhan-chirag-javia-dev-v14FEyYa/","","","","","","","","","","","","","","","","","",""
"FDM","0000004","20250101|122827","20241230_2029409_065218_116676","R09_0_IND_M25 Indore","Somani/Suresh","Inui/Rawat","|K|0.669568|EK|G||OL1|1.5405|EOL1|OL2|3.1815|EOL2|OH1|150|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/india/itf-m25-indore-men-doubles/somani-parikshit-suresh-dhakshineswar-inui-yuichiro-rawat-sidharth-dOXGFNH0/","","","","","","","","","","","","","","","","","",""
"SM","0000005","20250101|122836","20250101_2031105_029939_071174","R05_2_AUS_Brisbane International - Brisbane","Tiafoe","Mpetshi Perricard","|K|0.572047|EK|G||OL1|2.02125|EOL1|OL2|2.48625|EOL2|OH1|175|EOH1|OH2|234|EOH2|EG|NA||NAOL1|1.9425|ENAOL1|NAOL2|2.56698|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/atp-brisbane/tiafoe-frances-mpetshi-perricard-giovanni-CznOFSll/#ah;2;-0.50;2","-0.5","1.91","1.98","","","","","","","1.91","1.98","","","","","","",""
"SM","0000005","20250101|122837","20250101_2031105_029939_071174","R05_2_AUS_Brisbane International - Brisbane","Tiafoe","Mpetshi Perricard","|K|0.572047|EK|G||OL1|2.02125|EOL1|OL2|2.48625|EOL2|OH1|175|EOH1|OH2|234|EOH2|EG|NA||NAOL1|1.9425|ENAOL1|NAOL2|2.56698|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/atp-brisbane/tiafoe-frances-mpetshi-perricard-giovanni-CznOFSll/#ah;2;-1.50;2","-1.5","2.23","1.72","","","","","2.15","1.68","2.23","1.72","","","","","","",""
"SM","0000005","20250101|122841","20250101_2031105_029939_071174","R05_2_AUS_Brisbane International - Brisbane","Tiafoe","Mpetshi Perricard","|K|0.572047|EK|G||OL1|2.02125|EOL1|OL2|2.48625|EOL2|OH1|175|EOH1|OH2|234|EOH2|EG|NA||NAOL1|1.9425|ENAOL1|NAOL2|2.56698|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/atp-brisbane/tiafoe-frances-mpetshi-perricard-giovanni-CznOFSll/#ah;2;1.50;1","1.5","1.3","3.85","","","","","1.27","3.75","1.3","3.85","","","","","","",""
"SM","0000005","20250101|122839","20250101_2031105_029939_071174","R05_2_AUS_Brisbane International - Brisbane","Tiafoe","Mpetshi Perricard","|K|0.572047|EK|G||OL1|2.02125|EOL1|OL2|2.48625|EOL2|OH1|175|EOH1|OH2|234|EOH2|EG|NA||NAOL1|1.9425|ENAOL1|NAOL2|2.56698|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/atp-brisbane/tiafoe-frances-mpetshi-perricard-giovanni-CznOFSll/#ah;2;-1.50;1","-1.5","3.09","1.42","","","","","2.9","1.4","3.09","1.42","","","","","","",""
"SM","0000005","20250101|122830","20250101_2031105_029939_071174","R05_2_AUS_Brisbane International - Brisbane","Tiafoe","Mpetshi Perricard","|K|0.572047|EK|G||OL1|2.02125|EOL1|OL2|2.48625|EOL2|OH1|175|EOH1|OH2|234|EOH2|EG|NA||NAOL1|1.9425|ENAOL1|NAOL2|2.56698|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/atp-brisbane/tiafoe-frances-mpetshi-perricard-giovanni-CznOFSll/","","1.8","2.14","","","","","1.78","2.05","1.8","2.14","","","","","","",""
