"FDM","0000001","20260109|132018","20260105_2138512_124534_125711","R12_0_USA_M25 Winston-Salem","Colby/Zamora","Milavsky/Shick","|K|0.182975|EK|G||OL1|5.75444|EOL1|OL2|1.27182|EOL2|OH1|1|EOH1|OH2|123|EOH2|EG|","GEW","https://www.oddsportal.com/tennis/usa/itf-men-doubles-m25-winston-salem-nc/colby-ryan-zamora-noah-milavsky-daniel-shick-braden-faX5YBXR/","","","","","","","","","","2.71","1.39","","","","","","",""
"FDV","0000002","20260109|132026","20260105_1677312_106291_106295","R12_0_FRA_W15 Cayenne","Cirotte/Lim","Kabbaj/Payet","","GEW","https://www.oddsportal.com/tennis/france/itf-women-doubles-w15-cayenne/astrid-cirotte-lim-alize-kabbaj-yasmine-payet-pauline-I7PWm6k5/","","","","","","","","","","1.51","2.5","","","","","","",""
"CDM","0000003","20260109|132034","20260105_2136910_121740_122754","R10_1_GBR_Nottingham 1 Challenger","Bass/Jones","Karol/Masur","|K|0.395731|EK|G||OL1|2.57554|EOL1|OL2|1.69154|EOL2|OH1|253|EOH1|OH2|166|EOH2|EG|","GEW","https://www.oddsportal.com/tennis/united-kingdom/challenger-men-doubles-nottingham-3/bass-finn-jones-ben-karol-milos-masur-daniel-ryj2iCbs/","","","","","","","","","","2.15","1.64","","","","","","",""
"CDM","0000004","20260109|132043","20260105_2136910_088519_106955","R10_1_GBR_Nottingham 1 Challenger","Hands/Wendelken","Broom/Stevenson","|K|0.422655|EK|G||OL1|2.41266|EOL1|OL2|1.77306|EOL2|OH1|237|EOH1|OH2|174|EOH2|EG|","GEW","https://www.oddsportal.com/tennis/united-kingdom/challenger-men-doubles-nottingham-3/hands-tom-wendelken-harry-broom-charles-stevenson-david-A5vfCwqh/","","","","","","","","","","1.95","1.78","","","","","","",""
"DM","0000005","20260109|132051","20260105_2130110_118495_042754","R10_2_AUS_Brisbane International - Brisbane","Cabral/Miedler","Doumbia/Reboul","|K|0.609022|EK|G||OL1|1.8018|EOL1|OL2|2.61888|EOL2|OH1|165|EOH1|OH2|1|EOH2|EG|","GEW","https://www.oddsportal.com/tennis/australia/atp-brisbane-doubles/cabral-francisco-miedler-lucas-doumbia-sadio-reboul-fabien-jLNvnpKH/","","","","","","","","","","1.61","2.18","","","","","","",""
"SM","0000006","20260109|132105","20260105_2130110_039152_056846","R10_2_AUS_Brisbane International - Brisbane","Kovacevic","Nakashima","|K|0.288873|EK|G||OL1|3.68167|EOL1|OL2|1.61445|EOL2|OH1|1|EOH1|OH2|141|EOH2|EG|","AHG","https://www.oddsportal.com/tennis/australia/atp-brisbane/kovacevic-aleksandar-nakashima-brandon-r9JFD3s3/#ah;2;2.50;2","2.5","2.04","1.84","","","","","","","2.04","1.84","","","","","","",""
"SM","0000006","20260109|132107","20260105_2130110_039152_056846","R10_2_AUS_Brisbane International - Brisbane","Kovacevic","Nakashima","|K|0.288873|EK|G||OL1|3.68167|EOL1|OL2|1.61445|EOL2|OH1|1|EOH1|OH2|141|EOH2|EG|","AHG","https://www.oddsportal.com/tennis/australia/atp-brisbane/kovacevic-aleksandar-nakashima-brandon-r9JFD3s3/#ah;2;1.50;2","1.5","2.43","1.6","","","","","","","2.43","1.6","","","","","","",""
"SM","0000006","20260109|132110","20260105_2130110_039152_056846","R10_2_AUS_Brisbane International - Brisbane","Kovacevic","Nakashima","|K|0.288873|EK|G||OL1|3.68167|EOL1|OL2|1.61445|EOL2|OH1|1|EOH1|OH2|141|EOH2|EG|","AHS","https://www.oddsportal.com/tennis/australia/atp-brisbane/kovacevic-aleksandar-nakashima-brandon-r9JFD3s3/#ah;2;1.50;1","1.5","1.74","2.19","","","","","","","1.74","2.19","","","","","","",""
"SM","0000006","20260109|132109","20260105_2130110_039152_056846","R10_2_AUS_Brisbane International - Brisbane","Kovacevic","Nakashima","|K|0.288873|EK|G||OL1|3.68167|EOL1|OL2|1.61445|EOL2|OH1|1|EOH1|OH2|141|EOH2|EG|","AHS","https://www.oddsportal.com/tennis/australia/atp-brisbane/kovacevic-aleksandar-nakashima-brandon-r9JFD3s3/#ah;2;-1.50;1","-1.5","5.29","1.18","","","","","","","5.29","1.18","","","","","","",""
"SM","0000006","20260109|132059","20260105_2130110_039152_056846","R10_2_AUS_Brisbane International - Brisbane","Kovacevic","Nakashima","|K|0.288873|EK|G||OL1|3.68167|EOL1|OL2|1.61445|EOL2|OH1|1|EOH1|OH2|141|EOH2|EG|","GEW","https://www.oddsportal.com/tennis/australia/atp-brisbane/kovacevic-aleksandar-nakashima-brandon-r9JFD3s3/","","2.95","1.45","","","","","","","3.04","1.39","","","","","","",""
